7oa5 	1,637	 1,139 
7oa4 	1,605	 1,152 
7oa3 	1,574	 1,164 
7oa2 	1,545	 1,176
7oa1 	1,515	 1,188
7oi1 	1,477	 1,172 
7oi2 	1,459	 1,162 
7oi3 	1,444	 1,153 
7oi4 	1,426	 1,144 
7oi5 	1,411	 1,135 
7oi6 	1,376	 1,116 
7oi7 	1,310	 1,107 
7oi8 	1,344	 1,098 
13mi5 	1,119	 0,576
13mi4 	1,082	 0,400
13mi3 	1,054	 0,134
13mi2 	1,054	 -0,137
13mi1 	1,084	 -0,403
8uig 	1,151	 -0,671 
8uif 	1,176	 -0,710 
8uie 	1,198	 -0,744 
8uid 	1,233	 -0,798 
8uic 	1,267	 -0,858 
8uib 	1,281	 -0,902 
8uia 	1,286	 -0,929 
8ui9 	1,288	 -0,959 
8ui8 	1,281	 -0,993 
8ui7 	1,275	 -1,011 
8ui6 	1,269	 -1,029 
8ui5 	1,262	 -1,047 
8ui4 	1,256	 -1,065 
8ui3 	1,250	 -1,083
8ui2 	1,244	 -1,101
8ui1 	1,238	 -1,119
8um1 	1,297	 -1,084
8um2 	1,344	 -1,062
8um3 	1,372  	 -1,062
8um4 	1,405	 -1,062
8um5 	1,429	 -1,062
8um6 	1,457	 -1,062
8um7 	1,508	 -1,119
8um8 	1,537	 -1,153
8ua1 	1,582	 -1,199
8ua2 	1,588	 -1,175
8ua3 	1,595	 -1,151
8ua4 	1,601	 -1,121
8ua5 	1,608	 -1,103
8ua6 	1,614	 -1,078
8ua7 	1,620	 -1,054
8ua8 	1,627	 -1,030 
8ua9 	1,640	 -0,982 
8uaa 	1,659	 -0,936 
8uab 	1,674	 -0,909 
8uac 	1,689	 -0,884 
8uad 	1,729	 -0,843 
8uae 	1,786	 -0,788 
8uaf 	1,857	 -0,707 
8uag 	1,899	 -0,660 
8uah 	1,963	 -0,587 
8ma1 	2,144	 -0,269
8ma2 	2,202	 -0,070
8ma3 	2,215	 0,027
8ma4 	2,170	 0,391
8ma5 	2,158	 0,425
