,shotnr,tdiv_mean,useful
1647,30469,-0.2,useful
1300,29864,-0.2,useful
3300,34407,-0.2,useful
3003,33540,-0.2,useful
3290,34397,-0.2,useful
1431,30033,-0.2,useful
3301,34408,-0.2,useful
1442,30044,-0.2,useful
1450,30056,-0.2,useful
1624,30420,-0.2,useful
3004,33541,-0.2,useful
1092,29621,-0.2,useful
1617,30413,-0.2,useful
1856,30749,-0.2,useful
1063,29588,-0.2,useful
1045,29564,-0.2,useful
974,29436,-0.2,useful
2005,30956,-0.2,useful
884,29332,-0.2,useful
861,29300,-0.2,useful
2634,31982,-0.2,useful
1084,29610,-0.2,useful
182,28239,-0.2,useful
626,28904,-0.2,useful
608,28885,-0.2,useful
600,28874,-0.2,useful
3151,34106,-0.1,useful
3499,34638,-0.1,useful
3446,34572,-0.1,useful
3497,34636,-0.1,useful
3156,34111,-0.1,useful
3498,34637,-0.1,useful
3443,34569,-0.1,useful
3154,34109,-0.1,useful
3121,34056,-0.1,useful
3150,34105,-0.1,useful
3453,34581,-0.1,useful
3112,34046,-0.1,useful
3136,34090,-0.1,useful
3135,34089,-0.1,useful
3080,33965,-0.1,useful
3487,34624,-0.1,useful
3084,33986,-0.1,useful
3085,33987,-0.1,useful
3475,34612,-0.1,useful
3134,34088,-0.1,useful
3090,33992,-0.1,useful
3064,33917,-0.1,useful
3440,34566,-0.1,useful
2241,31306,-0.1,useful
3170,34166,-0.1,useful
3356,34471,-0.1,useful
3337,34447,-0.1,useful
3336,34446,-0.1,useful
3360,34476,-0.1,useful
3292,34399,-0.1,useful
3283,34389,-0.1,useful
3264,34367,-0.1,useful
3377,34495,-0.1,useful
3379,34497,-0.1,useful
3248,34338,-0.1,useful
3236,34313,-0.1,useful
3234,34311,-0.1,useful
3233,34310,-0.1,useful
3232,34309,-0.1,useful
3380,34498,-0.1,useful
3230,34306,-0.1,useful
3227,34302,-0.1,useful
3419,34543,-0.1,useful
3417,34541,-0.1,useful
3195,34261,-0.1,useful
3196,34262,-0.1,useful
133,28171,-0.1,useful
3396,34518,-0.1,useful
3167,34163,-0.1,useful
3389,34507,-0.1,useful
3214,34283,-0.1,useful
3216,34286,-0.1,useful
3385,34503,-0.1,useful
3384,34502,-0.1,useful
3223,34297,-0.1,useful
3500,34639,-0.1,useful
3386,34504,-0.1,useful
3224,34299,-0.1,useful
2866,32933,-0.1,useful
3352,34466,-0.1,useful
3582,34749,-0.1,useful
3583,34750,-0.1,useful
1307,29871,-0.1,useful
3588,34755,-0.1,useful
3592,34759,-0.1,useful
2888,33043,-0.1,useful
2887,33042,-0.1,useful
3746,34949,-0.1,useful
3632,34807,-0.1,useful
3354,34468,-0.1,useful
2861,32928,-0.1,useful
3638,34816,-0.1,useful
3741,34944,-0.1,useful
3030,33688,-0.1,useful
3642,34821,-0.1,useful
3740,34942,-0.1,useful
223,28286,-0.1,useful
962,29422,-0.1,useful
817,29228,-0.1,useful
247,28319,-0.1,useful
562,28819,-0.1,useful
302,28394,-0.1,useful
351,28503,-0.1,useful
514,28756,-0.1,useful
2651,32000,-0.1,useful
417,28597,-0.1,useful
3568,34724,-0.1,useful
2908,33072,-0.1,useful
2977,33467,-0.1,useful
2999,33536,-0.1,useful
2998,33535,-0.1,useful
2911,33075,-0.1,useful
3532,34673,-0.1,useful
2964,33419,-0.1,useful
1640,30444,-0.1,useful
3534,34675,-0.1,useful
1675,30505,-0.1,useful
3756,34960,-0.1,useful
1552,30306,-0.1,useful
3540,34683,-0.1,useful
1412,30004,-0.1,useful
3543,34687,-0.1,useful
3511,34651,-0.1,useful
3509,34649,-0.1,useful
1308,29872,-0.1,useful
3524,34665,-0.1,useful
3759,34966,-0.1,useful
3760,34967,-0.0,useful
3355,34470,-0.0,useful
3720,34918,-0.0,useful
3374,34491,0.0,useful
3757,34961,0.0,useful
3721,34919,-0.0,useful
3368,34485,-0.0,useful
3378,34496,-0.0,useful
3376,34494,0.0,useful
3369,34486,-0.0,useful
3370,34487,-0.0,useful
3371,34488,-0.0,useful
3358,34473,-0.0,useful
3381,34499,-0.0,useful
3502,34641,0.0,useful
3382,34500,-0.0,useful
3501,34640,-0.0,useful
3526,34667,-0.0,useful
3527,34668,-0.0,useful
3528,34669,0.0,useful
3529,34670,-0.0,useful
3496,34635,-0.0,useful
3476,34613,-0.0,useful
3474,34611,0.0,useful
3537,34679,-0.0,useful
3539,34682,-0.0,useful
3542,34685,0.0,useful
3559,34705,-0.0,useful
3564,34714,-0.0,useful
3702,34897,0.0,useful
3469,34605,0.0,useful
3581,34748,0.0,useful
3585,34752,0.0,useful
3607,34778,0.0,useful
3432,34556,-0.0,useful
3422,34546,-0.0,useful
3412,34534,0.0,useful
3643,34822,0.0,useful
3644,34823,0.0,useful
3660,34842,-0.0,useful
3394,34514,-0.0,useful
3663,34845,0.0,useful
3665,34847,-0.0,useful
3693,34887,-0.0,useful
3467,34603,0.0,useful
3401,34523,0.0,useful
3073,33948,0.0,useful
3342,34453,-0.0,useful
2902,33060,-0.0,useful
2903,33063,-0.0,useful
2909,33073,0.0,useful
2910,33074,0.0,useful
2912,33076,-0.0,useful
2913,33077,-0.0,useful
2914,33078,0.0,useful
2918,33155,-0.0,useful
2933,33255,0.0,useful
2891,33047,0.0,useful
2934,33256,0.0,useful
2951,33292,0.0,useful
2963,33418,-0.0,useful
2965,33420,-0.0,useful
2996,33513,0.0,useful
3000,33537,-0.0,useful
3005,33542,-0.0,useful
3018,33670,-0.0,useful
3020,33675,0.0,useful
3021,33676,-0.0,useful
2948,33282,-0.0,useful
2890,33046,-0.0,useful
2889,33045,0.0,useful
2884,33037,0.0,useful
1934,30844,-0.0,useful
3761,34971,-0.0,useful
1645,30467,-0.0,useful
1597,30384,-0.0,useful
1226,29778,0.0,useful
1196,29743,0.0,useful
1144,29680,-0.0,useful
1119,29653,0.0,useful
1037,29555,-0.0,useful
769,29172,-0.0,useful
2678,32050,0.0,useful
383,28559,0.0,useful
2760,32191,0.0,useful
293,28383,0.0,useful
273,28358,0.0,useful
2806,32303,-0.0,useful
215,28276,-0.0,useful
193,28250,0.0,useful
2859,32924,-0.0,useful
2860,32927,0.0,useful
2871,32967,0.0,useful
3022,33678,-0.0,useful
3347,34461,0.0,useful
3023,33679,0.0,useful
3033,33692,0.0,useful
3207,34276,-0.0,useful
3208,34277,-0.0,useful
3218,34288,0.0,useful
3219,34290,-0.0,useful
3221,34292,-0.0,useful
3225,34300,-0.0,useful
3231,34308,0.0,useful
3249,34339,-0.0,useful
3250,34340,0.0,useful
3206,34275,-0.0,useful
3252,34351,-0.0,useful
3278,34383,0.0,useful
3284,34391,0.0,useful
3285,34392,-0.0,useful
3287,34394,-0.0,useful
3309,34417,0.0,useful
3332,34442,-0.0,useful
3334,34444,-0.0,useful
3338,34448,-0.0,useful
3341,34452,0.0,useful
3258,34357,-0.0,useful
3203,34271,-0.0,useful
3197,34263,-0.0,useful
3193,34252,0.0,useful
3034,33746,-0.0,useful
3054,33886,0.0,useful
3060,33894,-0.0,useful
3061,33914,-0.0,useful
3078,33961,-0.0,useful
3081,33981,-0.0,useful
3082,33982,-0.0,useful
3086,33988,-0.0,useful
3088,33990,-0.0,useful
3147,34102,-0.0,useful
3148,34103,-0.0,useful
3149,34104,-0.0,useful
3153,34108,-0.0,useful
3155,34110,-0.0,useful
3160,34118,0.0,useful
3165,34157,-0.0,useful
3181,34229,0.0,useful
3183,34231,0.0,useful
3188,34238,0.0,useful
3189,34239,-0.0,useful
3192,34250,-0.0,useful
3031,33689,-0.0,useful
3762,34973,0.0,useful
