,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
63,8.16,5.03,0.81,jsat,4,2.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,0.002567835063
72,9.28,7.7,0.33,jsat,5,2.0,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,0.00258653579713
74,8.31,1.02,0.68,jsat,5,10.0,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,0.00264599222502
6,4.83,9.54,1.55,jsat,2,5.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,0.00267919750995
71,9.01,24.98,0.14,jsat,5,2.0,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,0.00269492867709
43,2.59,23.98,0.38,jsat,2?,5.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,0.00271454494047
65,7.93,8.63,0.78,jsat,4,10.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,0.00272404473288
73,8.04,3.19,0.61,jsat,5,2.0,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,0.00278822602545
48,2.33,19.94,1.5,jsat,2?,5.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,0.00282736061459
112,4.09,20.94,0.98,jsat,5,2.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,0.00286306189556
75,7.81,6.79,0.58,jsat,5,10.0,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,0.0029499198335
113,4.36,3.66,0.79,jsat,5,2.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,0.00301318189379
115,3.39,5.06,0.44,jsat,5,10.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,0.00302269476943
114,3.12,7.23,0.51,jsat,5,2.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,0.00322931391553
116,2.89,10.83,0.54,jsat,5,10.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,0.00340212107638
