,Quantity,Signal 1,Signal 2,DTW,Delta Ptot,Delta Tdiv,Delta nbar,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar
1102,jsat,32238 (4.63-5.06),34189 (2.87-3.20),9.223372036854776e+18,7.29,4.64,0.62,9.47207,0.0,0.177642,8.51,19.76,7.99,18.8352,5.00709,0.0,15.8,24.4,7.37
1101,jsat,32238 (4.63-5.06),34188 (4.90-5.06),9.223372036854776e+18,6.26,10.42,0.34,9.47207,0.0,0.177642,8.51,19.76,7.99,18.8245,6.73915,0.0,14.77,9.34,8.33
201,jsat,30506 (4.31-4.41),32228 (3.72-4.00),9.223372036854776e+18,5.69,28.29,5.8,38.326,21.2213,,17.68,-3.64,13.71,25.7514,4.76522,,11.99,24.65,7.91
1099,jsat,32238 (4.63-5.06),34188 (4.04-4.20),9.223372036854776e+18,6.49,6.82,0.37,9.47207,0.0,0.177642,8.51,19.76,7.99,18.8332,4.51371,0.0,15.0,12.94,8.36
167,jsat,30506 (3.53-3.71),32235 (6.07-6.42),9.223372036854776e+18,5.5,21.73,4.99,38.3254,21.2135,,18.99,-2.39,12.6,25.5268,0.0,0.862729,13.49,19.34,7.61
202,jsat,30506 (4.31-4.41),32228 (4.42-4.72),9.223372036854776e+18,5.74,27.07,5.74,38.326,21.2213,,17.68,-3.64,13.71,25.7448,7.0675,,11.94,23.43,7.97
203,jsat,30506 (4.31-4.41),32228 (5.22-5.50),9.223372036854776e+18,5.87,24.88,5.68,38.326,21.2213,,17.68,-3.64,13.71,25.7248,9.63407,,11.81,21.24,8.03
204,jsat,30506 (4.31-4.41),32228 (6.20-6.48),9.223372036854776e+18,6.16,25.43,5.75,38.326,21.2213,,17.68,-3.64,13.71,25.7023,12.8457,,11.52,21.79,7.96
205,jsat,30506 (4.31-4.41),32233 (3.81-4.00),9.223372036854776e+18,5.31,32.75,5.8,38.326,21.2213,,17.68,-3.64,13.71,25.7632,0.0,0.493743,12.37,29.11,7.91
206,jsat,30506 (4.31-4.41),32233 (5.05-5.33),9.223372036854776e+18,5.8,23.81,4.84,38.326,21.2213,,17.68,-3.64,13.71,25.747,0.0,1.9545,11.88,20.17,8.87
181,jsat,30506 (3.53-3.71),34165 (2.00-2.33),9.223372036854776e+18,,20.36,6.1,38.3254,21.2135,,18.99,-2.39,12.6,18.8512,0.0243271,0.0,,17.97,6.5
207,jsat,30506 (4.31-4.41),32234 (3.50-3.70),9.223372036854776e+18,4.34,22.38,4.92,38.326,21.2213,,17.68,-3.64,13.71,25.546,0.0,2.14927,13.34,18.74,8.79
180,jsat,30506 (3.53-3.71),32239 (2.11-2.47),9.223372036854776e+18,10.46,32.8,5.27,38.3254,21.2135,,18.99,-2.39,12.6,9.47128,0.0,0.0275171,8.53,30.41,7.33
208,jsat,30506 (4.31-4.41),32234 (4.69-4.94),9.223372036854776e+18,5.29,8.92,3.92,38.326,21.2213,,17.68,-3.64,13.71,25.5276,0.0,0.0676609,12.39,5.28,9.79
209,jsat,30506 (4.31-4.41),32234 (5.10-5.55),9.223372036854776e+18,5.11,11.4,4.89,38.326,21.2213,,17.68,-3.64,13.71,25.5233,0.0,0.0506868,12.57,7.76,8.82
13,jsat,28767 (2.00-2.50),32228 (3.72-4.00),9.223372036854776e+18,7.95,8.77,2.01,1.34941,0.0,,4.04,15.88,5.9,25.7514,4.76522,,11.99,24.65,7.91
210,jsat,30506 (4.31-4.41),32235 (3.49-3.87),9.223372036854776e+18,4.01,24.3,5.71,38.326,21.2213,,17.68,-3.64,13.71,25.5696,0.0,0.962967,13.67,20.66,8.0
178,jsat,30506 (3.53-3.71),32239 (5.80-6.10),9.223372036854776e+18,10.24,13.26,3.58,38.3254,21.2135,,18.99,-2.39,12.6,9.46983,0.0,0.0811663,8.75,10.87,9.02
182,jsat,30506 (3.53-3.71),34165 (3.52-3.70),9.223372036854776e+18,,6.16,,38.3254,21.2135,,18.99,-2.39,12.6,18.8646,13.2777,0.0,,3.77,
160,jsat,30506 (3.53-3.71),32233 (5.05-5.33),9.223372036854776e+18,7.11,22.56,3.73,38.3254,21.2135,,18.99,-2.39,12.6,25.747,0.0,1.9545,11.88,20.17,8.87
1219,jsat,34165 (3.52-3.70),34188 (3.25-3.42),9.223372036854776e+18,,20.06,,18.8646,13.2777,0.0,,3.77,,18.8302,2.66714,0.0,16.24,23.83,8.08
105,jsat,30506 (3.21-3.27),32225 (2.70-3.00),9.223372036854776e+18,12.13,18.44,3.61,38.314,21.1985,,18.97,-0.47,11.16,9.48025,3.49116,,6.84,17.97,7.55
131,jsat,30506 (3.21-3.27),32239 (4.56-4.95),9.223372036854776e+18,10.47,15.37,2.77,38.314,21.1985,,18.97,-0.47,11.16,9.47235,0.0,0.10587,8.5,14.9,8.39
130,jsat,30506 (3.21-3.27),32239 (3.90-4.20),9.223372036854776e+18,10.58,19.14,3.05,38.314,21.1985,,18.97,-0.47,11.16,9.47201,0.0,0.122662,8.39,18.67,8.11
129,jsat,30506 (3.21-3.27),32239 (3.20-3.40),9.223372036854776e+18,10.52,22.93,3.2,38.314,21.1985,,18.97,-0.47,11.16,9.47453,0.0,0.0793621,8.45,22.46,7.96
1179,jsat,32239 (5.80-6.10),34188 (4.04-4.20),9.223372036854776e+18,6.25,2.07,0.66,9.46983,0.0,0.0811663,8.75,10.87,9.02,18.8332,4.51371,0.0,15.0,12.94,8.36
106,jsat,30506 (3.21-3.27),32225 (3.52-3.70),9.223372036854776e+18,12.01,16.6,3.41,38.314,21.1985,,18.97,-0.47,11.16,19.1133,3.47633,,6.96,16.13,7.75
107,jsat,30506 (3.21-3.27),32225 (4.52-4.95),9.223372036854776e+18,9.54,21.84,3.36,38.314,21.1985,,18.97,-0.47,11.16,19.1233,3.4687,,9.43,21.37,7.8
108,jsat,30506 (3.21-3.27),32225 (5.52-5.95),9.223372036854776e+18,9.54,25.87,3.53,38.314,21.1985,,18.97,-0.47,11.16,9.65691,3.46728,,9.43,25.4,7.63
110,jsat,30506 (3.21-3.27),32228 (4.42-4.72),9.223372036854776e+18,7.03,23.9,3.19,38.314,21.1985,,18.97,-0.47,11.16,25.7448,7.0675,,11.94,23.43,7.97
1201,jsat,32239 (2.11-2.47),34188 (3.25-3.42),9.223372036854776e+18,7.71,6.58,0.75,9.47128,0.0,0.0275171,8.53,30.41,7.33,18.8302,2.66714,0.0,16.24,23.83,8.08
112,jsat,30506 (3.21-3.27),32228 (6.20-6.48),9.223372036854776e+18,7.45,22.26,3.2,38.314,21.1985,,18.97,-0.47,11.16,25.7023,12.8457,,11.52,21.79,7.96
