,Quantity,Signal 1,Signal 2,DTW,Delta Ptot,Delta Tdiv,Delta nbar,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar
435,jsat,32201 (4.55-4.81),32239 (4.56-4.95),9.223372036854776e+18,1.15,10.45,0.65,19.1003,0.0,,9.65,25.35,7.74,9.47235,0.0,0.10587,8.5,14.9,8.39
932,jsat,32235 (3.49-3.87),34188 (3.25-3.42),9.223372036854776e+18,2.57,3.17,0.08,25.5696,0.0,0.962967,13.67,20.66,8.0,18.8302,2.66714,0.0,16.24,23.83,8.08
432,jsat,32201 (4.55-4.81),32238 (6.40-6.80),9.223372036854776e+18,1.17,4.41,0.19,19.1003,0.0,,9.65,25.35,7.74,9.4666,0.0,0.0482738,8.48,20.94,7.93
430,jsat,32201 (4.55-4.81),32238 (4.63-5.06),9.223372036854776e+18,1.14,5.59,0.25,19.1003,0.0,,9.65,25.35,7.74,9.47207,0.0,0.177642,8.51,19.76,7.99
428,jsat,32201 (4.55-4.81),32237 (3.74-4.01),9.223372036854776e+18,1.07,12.87,1.35,19.1003,0.0,,9.65,25.35,7.74,9.4875,0.0,0.0881912,8.58,12.48,9.09
421,jsat,32201 (4.55-4.81),32234 (5.10-5.55),9.223372036854776e+18,2.92,17.59,1.08,19.1003,0.0,,9.65,25.35,7.74,25.5233,0.0,0.0506868,12.57,7.76,8.82
406,jsat,32201 (3.66-3.93),34189 (4.25-4.50),9.223372036854776e+18,8.04,0.19,0.26,19.098,0.0,,7.05,19.94,7.7,18.8358,7.42697,0.0,15.09,20.13,7.44
400,jsat,32201 (3.66-3.93),34188 (2.24-2.41),9.223372036854776e+18,8.92,21.17,0.19,19.098,0.0,,7.05,19.94,7.7,18.8204,0.0298251,0.0,15.97,41.11,7.89
376,jsat,32201 (3.66-3.93),32233 (3.81-4.00),9.223372036854776e+18,5.32,9.17,0.21,19.098,0.0,,7.05,19.94,7.7,25.7632,0.0,0.493743,12.37,29.11,7.91
372,jsat,32201 (3.66-3.93),32228 (3.72-4.00),9.223372036854776e+18,4.94,4.71,0.21,19.098,0.0,,7.05,19.94,7.7,25.7514,4.76522,,11.99,24.65,7.91
358,jsat,32233 (2.76-2.96),34165 (3.52-3.70),9.223372036854776e+18,,27.88,,25.778,0.0,,12.4,31.65,7.88,18.8646,13.2777,0.0,,3.77,
