,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
42,2.71,22.14,0.18,jsat,2?,4.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,29133.6088217
53,5.45,27.17,0.99,jsat,2?,2.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,30396.5781021
43,2.59,23.98,0.38,jsat,2?,5.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,30597.9218945
50,,36.34,,jsat,2?,6.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,30833.5462852
55,5.22,30.77,0.96,jsat,2?,10.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,31277.0764939
92,6.81,1.57,0.45,jsat,3,2.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,31336.6009592
112,4.09,20.94,0.98,jsat,5,2.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,31965.9929083
38,6.59,1.52,0.34,jsat,3,2.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,31966.3458535
54,5.72,25.0,1.06,jsat,2?,10.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,32901.6609459
105,3.6,12.0,0.02,jsat,2.5,2.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,33329.2373378
113,4.36,3.66,0.79,jsat,5,2.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,34528.2597768
106,3.87,5.28,0.17,jsat,2.5,2.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,35989.59268
49,,22.14,0.87,jsat,2?,10.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,37248.1382367
