,Quantity,Signal 1,Signal 2,DTW,Delta Ptot,Delta Tdiv,Delta nbar,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar
348,jsat,30506 (4.93-5.03),33228 (4.48-4.72),1746.03125,11.43,8.27,8.59,38.2955,21.215,,17.77,-3.8,13.88,9.62286,10.6663,0.0,6.34,4.47,5.29
70,jsat,28767 (5.90-6.31),32225 (2.70-3.00),1746.03125,2.56,5.99,2.42,2.15433,0.0,,4.28,11.98,5.13,9.48025,3.49116,,6.84,17.97,7.55
1469,jsat,32238 (5.72-6.08),32239 (3.20-3.40),1758.24365234375,0.01,5.94,0.2,9.46889,0.0,0.0927535,8.46,16.52,8.16,9.47453,0.0,0.0793621,8.45,22.46,7.96
1681,jsat,32931 (3.48-3.76),34165 (2.00-2.33),1782.65966796875,,21.1,0.72,9.73754,2.76119,0.0,12.61,39.07,7.22,18.8512,0.0243271,0.0,,17.97,6.5
1152,jsat,32234 (5.10-5.55),32238 (6.40-6.80),1892.55126953125,4.09,13.18,0.89,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.4666,0.0,0.0482738,8.48,20.94,7.93
738,jsat,32225 (4.52-4.95),32931 (6.35-6.50),1929.1767578125,3.39,4.37,0.01,19.1233,3.4687,,9.43,21.37,7.8,18.6919,0.257304,0.0,12.82,25.74,7.79
1147,jsat,32234 (5.10-5.55),32237 (2.37-2.98),1929.18017578125,4.1,16.4,1.02,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.48679,0.0,0.0285357,8.47,24.16,7.8
1385,jsat,32237 (3.74-4.01),32238 (5.72-6.08),1953.6015625,0.12,4.04,0.93,9.4875,0.0,0.0881912,8.58,12.48,9.09,9.46889,0.0,0.0927535,8.46,16.52,8.16
1390,jsat,32237 (3.74-4.01),32239 (5.80-6.10),1978.02294921875,0.17,1.61,0.07,9.4875,0.0,0.0881912,8.58,12.48,9.09,9.46983,0.0,0.0811663,8.75,10.87,9.02
764,jsat,32225 (5.52-5.95),32234 (5.10-5.55),1990.23193359375,3.14,17.64,1.19,9.65691,3.46728,,9.43,25.4,7.63,25.5233,0.0,0.0506868,12.57,7.76,8.82
1081,jsat,32234 (3.50-3.70),32931 (2.50-2.77),2014.65185546875,0.89,25.41,2.06,25.546,0.0,2.14927,13.34,18.74,8.79,9.73876,0.0245049,0.0,12.45,44.15,6.73
1664,jsat,32931 (2.50-2.77),34165 (2.00-2.33),2075.6982421875,,26.18,0.23,9.73876,0.0245049,0.0,12.45,44.15,6.73,18.8512,0.0243271,0.0,,17.97,6.5
633,jsat,32225 (2.70-3.00),32239 (3.90-4.20),2075.70166015625,1.55,0.7,0.56,9.48025,3.49116,,6.84,17.97,7.55,9.47201,0.0,0.122662,8.39,18.67,8.11
626,jsat,32225 (2.70-3.00),32237 (2.37-2.98),2185.5927734375,1.63,6.19,0.25,9.48025,3.49116,,6.84,17.97,7.55,9.48679,0.0,0.0285357,8.47,24.16,7.8
631,jsat,32225 (2.70-3.00),32238 (6.40-6.80),2210.01171875,1.64,2.97,0.38,9.48025,3.49116,,6.84,17.97,7.55,9.4666,0.0,0.0482738,8.48,20.94,7.93
627,jsat,32225 (2.70-3.00),32237 (3.74-4.01),2210.01171875,1.74,5.49,1.54,9.48025,3.49116,,6.84,17.97,7.55,9.4875,0.0,0.0881912,8.58,12.48,9.09
1153,jsat,32234 (5.10-5.55),32239 (3.20-3.40),2246.640625,4.12,14.7,0.86,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.47453,0.0,0.0793621,8.45,22.46,7.96
1470,jsat,32238 (5.72-6.08),32239 (3.90-4.20),2258.85302734375,0.07,2.15,0.05,9.46889,0.0,0.0927535,8.46,16.52,8.16,9.47201,0.0,0.122662,8.39,18.67,8.11
471,jsat,32201 (3.66-3.93),32235 (5.55-5.98),2319.90234375,6.61,0.05,0.22,19.098,0.0,,7.05,19.94,7.7,25.5361,0.0,0.926972,13.66,19.89,7.48
630,jsat,32225 (2.70-3.00),32238 (5.72-6.08),2344.32275390625,1.62,1.45,0.61,9.48025,3.49116,,6.84,17.97,7.55,9.46889,0.0,0.0927535,8.46,16.52,8.16
632,jsat,32225 (2.70-3.00),32239 (3.20-3.40),2405.373046875,1.61,4.49,0.41,9.48025,3.49116,,6.84,17.97,7.55,9.47453,0.0,0.0793621,8.45,22.46,7.96
935,jsat,32228 (5.22-5.50),32930 (2.64-2.85),2417.58203125,0.81,9.51,0.4,25.7248,9.63407,,11.81,21.24,8.03,18.8147,0.0237066,0.0,12.62,30.75,7.63
1384,jsat,32237 (3.74-4.01),32238 (4.63-5.06),2454.21240234375,0.07,7.28,1.1,9.4875,0.0,0.0881912,8.58,12.48,9.09,9.47207,0.0,0.177642,8.51,19.76,7.99
1149,jsat,32234 (5.10-5.55),32238 (2.46-2.72),2551.8935546875,4.03,20.11,1.33,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.47367,0.0,0.0287791,8.54,27.87,7.49
629,jsat,32225 (2.70-3.00),32238 (4.63-5.06),2564.10205078125,1.67,1.79,0.44,9.48025,3.49116,,6.84,17.97,7.55,9.47207,0.0,0.177642,8.51,19.76,7.99
1154,jsat,32234 (5.10-5.55),32239 (3.90-4.20),2600.732421875,4.18,10.91,0.71,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.47201,0.0,0.122662,8.39,18.67,8.11
1471,jsat,32238 (5.72-6.08),32239 (4.56-4.95),2612.94189453125,0.04,1.62,0.23,9.46889,0.0,0.0927535,8.46,16.52,8.16,9.47235,0.0,0.10587,8.5,14.9,8.39
1047,jsat,32233 (5.05-5.33),32932 (2.51-2.91),2625.15234375,2.83,18.09,1.24,25.747,0.0,1.9545,11.88,20.17,8.87,18.6118,0.02595,0.0,14.71,38.26,7.63
1387,jsat,32237 (3.74-4.01),32239 (3.20-3.40),2637.36279296875,0.13,9.98,1.13,9.4875,0.0,0.0881912,8.58,12.48,9.09,9.47453,0.0,0.0793621,8.45,22.46,7.96
773,jsat,32225 (5.52-5.95),32238 (4.63-5.06),2661.78076171875,0.92,5.64,0.36,9.65691,3.46728,,9.43,25.4,7.63,9.47207,0.0,0.177642,8.51,19.76,7.99
82,jsat,28767 (5.90-6.31),32234 (5.10-5.55),2661.7822265625,8.29,4.22,3.69,2.15433,0.0,,4.28,11.98,5.13,25.5233,0.0,0.0506868,12.57,7.76,8.82
570,jsat,32201 (5.90-6.20),32234 (3.50-3.70),2771.67236328125,3.79,21.37,1.42,9.6541,0.0,,9.55,40.11,7.37,25.546,0.0,2.14927,13.34,18.74,8.79
382,jsat,32201 (2.55-2.77),32931 (3.48-3.76),2783.88232421875,5.56,9.36,0.1,9.59389,0.0,,7.05,29.71,7.32,9.73754,2.76119,0.0,12.61,39.07,7.22
363,jsat,32201 (2.55-2.77),32234 (5.10-5.55),2808.3037109375,5.52,21.95,1.5,9.59389,0.0,,7.05,29.71,7.32,25.5233,0.0,0.0506868,12.57,7.76,8.82
772,jsat,32225 (5.52-5.95),32238 (2.46-2.72),2832.72216796875,0.89,2.47,0.14,9.65691,3.46728,,9.43,25.4,7.63,9.47367,0.0,0.0287791,8.54,27.87,7.49
1230,jsat,32235 (4.03-5.00),32931 (5.70-6.00),2905.9814453125,1.39,1.41,0.36,25.5597,0.0,0.934225,13.68,20.18,7.49,18.6992,10.9195,0.0,12.29,21.59,7.85
489,jsat,32201 (3.66-3.93),32931 (5.70-6.00),2918.1923828125,5.24,1.65,0.15,19.098,0.0,,7.05,19.94,7.7,18.6992,10.9195,0.0,12.29,21.59,7.85
1063,jsat,32233 (5.05-5.33),32930 (2.64-2.85),2942.61328125,0.74,10.58,1.24,25.747,0.0,1.9545,11.88,20.17,8.87,18.8147,0.0237066,0.0,12.62,30.75,7.63
893,jsat,32228 (5.22-5.50),32233 (5.05-5.33),2967.0322265625,0.07,1.07,0.84,25.7248,9.63407,,11.81,21.24,8.03,25.747,0.0,1.9545,11.88,20.17,8.87
599,jsat,32201 (5.90-6.20),34165 (2.00-2.33),2991.45068359375,,22.14,0.87,9.6541,0.0,,9.55,40.11,7.37,18.8512,0.0243271,0.0,,17.97,6.5
1148,jsat,32234 (5.10-5.55),32237 (3.74-4.01),3028.08251953125,3.99,4.72,0.27,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.4875,0.0,0.0881912,8.58,12.48,9.09
470,jsat,32201 (3.66-3.93),32235 (4.03-5.00),3089.1328125,6.63,0.24,0.21,19.098,0.0,,7.05,19.94,7.7,25.5597,0.0,0.934225,13.68,20.18,7.49
1157,jsat,32234 (5.10-5.55),32238 (3.58-3.84),3162.39306640625,4.08,14.39,0.98,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.47125,0.0,0.0842352,8.49,22.15,7.84
1472,jsat,32238 (5.72-6.08),32239 (5.80-6.10),3162.3935546875,0.29,5.65,0.86,9.46889,0.0,0.0927535,8.46,16.52,8.16,9.46983,0.0,0.0811663,8.75,10.87,9.02
1353,jsat,32237 (2.37-2.98),32238 (5.72-6.08),3174.6044921875,0.01,7.64,0.36,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.46889,0.0,0.0927535,8.46,16.52,8.16
1386,jsat,32237 (3.74-4.01),32238 (6.40-6.80),3235.65234375,0.1,8.46,1.16,9.4875,0.0,0.0881912,8.58,12.48,9.09,9.4666,0.0,0.0482738,8.48,20.94,7.93
490,jsat,32201 (3.66-3.93),32931 (6.35-6.50),3235.65283203125,5.77,5.8,0.09,19.098,0.0,,7.05,19.94,7.7,18.6919,0.257304,0.0,12.82,25.74,7.79
28,jsat,28767 (2.00-2.50),32237 (3.74-4.01),3272.2822265625,4.54,3.4,3.19,1.34941,0.0,,4.04,15.88,5.9,9.4875,0.0,0.0881912,8.58,12.48,9.09
361,jsat,32201 (2.55-2.77),32234 (3.50-3.70),3357.75244140625,6.29,10.97,1.47,9.59389,0.0,,7.05,29.71,7.32,25.546,0.0,2.14927,13.34,18.74,8.79
770,jsat,32225 (5.52-5.95),32237 (2.37-2.98),3406.5908203125,0.96,1.24,0.17,9.65691,3.46728,,9.43,25.4,7.63,9.48679,0.0,0.0285357,8.47,24.16,7.8
1388,jsat,32237 (3.74-4.01),32239 (3.90-4.20),3406.59228515625,0.19,6.19,0.98,9.4875,0.0,0.0881912,8.58,12.48,9.09,9.47201,0.0,0.122662,8.39,18.67,8.11
9,jsat,28767 (2.00-2.50),32225 (2.70-3.00),3431.01318359375,2.8,2.09,1.65,1.34941,0.0,,4.04,15.88,5.9,9.48025,3.49116,,6.84,17.97,7.55
1389,jsat,32237 (3.74-4.01),32239 (4.56-4.95),3467.64306640625,0.08,2.42,0.7,9.4875,0.0,0.0881912,8.58,12.48,9.09,9.47235,0.0,0.10587,8.5,14.9,8.39
875,jsat,32228 (4.42-4.72),32932 (2.51-2.91),3553.1142578125,2.77,14.83,0.34,25.7448,7.0675,,11.94,23.43,7.97,18.6118,0.02595,0.0,14.71,38.26,7.63
1151,jsat,32234 (5.10-5.55),32238 (5.72-6.08),3589.7431640625,4.11,8.76,0.66,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.46889,0.0,0.0927535,8.46,16.52,8.16
1569,jsat,32239 (4.56-4.95),32238 (3.58-3.84),3601.95361328125,0.01,7.25,0.55,9.47235,0.0,0.10587,8.5,14.9,8.39,9.47125,0.0,0.0842352,8.49,22.15,7.84
919,jsat,32228 (5.22-5.50),32932 (2.51-2.91),3663.0048828125,2.9,17.02,0.4,25.7248,9.63407,,11.81,21.24,8.03,18.6118,0.02595,0.0,14.71,38.26,7.63
775,jsat,32225 (5.52-5.95),32238 (6.40-6.80),3760.6826171875,0.95,4.46,0.3,9.65691,3.46728,,9.43,25.4,7.63,9.4666,0.0,0.0482738,8.48,20.94,7.93
92,jsat,28767 (5.90-6.31),32238 (5.72-6.08),3760.68359375,4.18,4.54,3.03,2.15433,0.0,,4.28,11.98,5.13,9.46889,0.0,0.0927535,8.46,16.52,8.16
562,jsat,32201 (5.90-6.20),32225 (4.52-4.95),3760.685546875,0.12,18.74,0.43,9.6541,0.0,,9.55,40.11,7.37,19.1233,3.4687,,9.43,21.37,7.8
849,jsat,32228 (4.42-4.72),32233 (5.05-5.33),3772.8916015625,0.06,3.26,0.9,25.7448,7.0675,,11.94,23.43,7.97,25.747,0.0,1.9545,11.88,20.17,8.87
473,jsat,32201 (3.66-3.93),32235 (6.49-6.84),3785.1015625,6.84,2.18,0.41,19.098,0.0,,7.05,19.94,7.7,25.5133,0.0,0.274347,13.89,22.12,7.29
458,jsat,32201 (3.66-3.93),32225 (4.52-4.95),3821.73388671875,2.38,1.43,0.1,19.098,0.0,,7.05,19.94,7.7,19.1233,3.4687,,9.43,21.37,7.8
1231,jsat,32235 (4.03-5.00),32931 (6.35-6.50),3894.99658203125,0.86,5.56,0.3,25.5597,0.0,0.934225,13.68,20.18,7.49,18.6919,0.257304,0.0,12.82,25.74,7.79
514,jsat,32201 (4.55-4.81),32228 (5.22-5.50),3907.2060546875,2.16,4.11,0.29,19.1003,0.0,,9.65,25.35,7.74,25.7248,9.63407,,11.81,21.24,8.03
89,jsat,28767 (5.90-6.31),32237 (3.74-4.01),3956.04296875,4.3,0.5,3.96,2.15433,0.0,,4.28,11.98,5.13,9.4875,0.0,0.0881912,8.58,12.48,9.09
1757,jsat,32932 (2.51-2.91),32930 (2.64-2.85),4004.884765625,2.09,7.51,0.0,18.6118,0.02595,0.0,14.71,38.26,7.63,18.8147,0.0237066,0.0,12.62,30.75,7.63
1444,jsat,32238 (4.63-5.06),32239 (4.56-4.95),4041.5146484375,0.01,4.86,0.4,9.47207,0.0,0.177642,8.51,19.76,7.99,9.47235,0.0,0.10587,8.5,14.9,8.39
390,jsat,32201 (2.55-2.77),34165 (2.00-2.33),4090.353515625,,11.74,0.82,9.59389,0.0,,7.05,29.71,7.32,18.8512,0.0243271,0.0,,17.97,6.5
523,jsat,32201 (4.55-4.81),32235 (5.55-5.98),4114.775390625,4.01,5.46,0.26,19.1003,0.0,,9.65,25.35,7.74,25.5361,0.0,0.926972,13.66,19.89,7.48
1819,jsat,34188 (2.24-2.41),34189 (2.87-3.20),4139.1943359375,0.17,16.71,0.52,18.8204,0.0298251,0.0,15.97,41.11,7.89,18.8352,5.00709,0.0,15.8,24.4,7.37
737,jsat,32225 (4.52-4.95),32931 (5.70-6.00),4212.45263671875,2.86,0.22,0.05,19.1233,3.4687,,9.43,21.37,7.8,18.6992,10.9195,0.0,12.29,21.59,7.85
1155,jsat,32234 (5.10-5.55),32239 (4.56-4.95),4273.50390625,4.07,7.14,0.43,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.47235,0.0,0.10587,8.5,14.9,8.39
635,jsat,32225 (2.70-3.00),32239 (5.80-6.10),4273.5048828125,1.91,7.1,1.47,9.48025,3.49116,,6.84,17.97,7.55,9.46983,0.0,0.0811663,8.75,10.87,9.02
634,jsat,32225 (2.70-3.00),32239 (4.56-4.95),4334.55419921875,1.66,3.07,0.84,9.48025,3.49116,,6.84,17.97,7.55,9.47235,0.0,0.10587,8.5,14.9,8.39
517,jsat,32201 (4.55-4.81),32233 (5.05-5.33),4334.5576171875,2.23,5.18,1.13,19.1003,0.0,,9.65,25.35,7.74,25.747,0.0,1.9545,11.88,20.17,8.87
620,jsat,32225 (2.70-3.00),32234 (5.10-5.55),4407.8134765625,5.73,10.21,1.27,9.48025,3.49116,,6.84,17.97,7.55,25.5233,0.0,0.0506868,12.57,7.76,8.82
1445,jsat,32238 (4.63-5.06),32239 (5.80-6.10),4432.2353515625,0.24,8.89,1.03,9.47207,0.0,0.177642,8.51,19.76,7.99,9.46983,0.0,0.0811663,8.75,10.87,9.02
777,jsat,32225 (5.52-5.95),32239 (3.90-4.20),4468.86376953125,1.04,6.73,0.48,9.65691,3.46728,,9.43,25.4,7.63,9.47201,0.0,0.122662,8.39,18.67,8.11
559,jsat,32201 (4.55-4.81),32930 (2.64-2.85),4566.5419921875,2.97,5.4,0.11,19.1003,0.0,,9.65,25.35,7.74,18.8147,0.0237066,0.0,12.62,30.75,7.63
1357,jsat,32237 (2.37-2.98),32239 (4.56-4.95),4615.38525390625,0.03,9.26,0.59,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.47235,0.0,0.10587,8.5,14.9,8.39
1156,jsat,32234 (5.10-5.55),32239 (5.80-6.10),4664.224609375,3.82,3.11,0.2,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.46983,0.0,0.0811663,8.75,10.87,9.02
32,jsat,28767 (2.00-2.50),32238 (6.40-6.80),4700.85400390625,4.44,5.06,2.03,1.34941,0.0,,4.04,15.88,5.9,9.4666,0.0,0.0482738,8.48,20.94,7.93
776,jsat,32225 (5.52-5.95),32239 (3.20-3.40),4774.11376953125,0.98,2.94,0.33,9.65691,3.46728,,9.43,25.4,7.63,9.47453,0.0,0.0793621,8.45,22.46,7.96
1850,jsat,34189 (2.87-3.20),32930 (2.64-2.85),4786.32470703125,3.18,6.35,0.26,18.8352,5.00709,0.0,15.8,24.4,7.37,18.8147,0.0237066,0.0,12.62,30.75,7.63
1359,jsat,32237 (2.37-2.98),32238 (3.58-3.84),4798.53271484375,0.02,2.01,0.04,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.47125,0.0,0.0842352,8.49,22.15,7.84
371,jsat,32201 (2.55-2.77),32238 (2.46-2.72),4822.953125,1.49,1.84,0.17,9.59389,0.0,,7.05,29.71,7.32,9.47367,0.0,0.0287791,8.54,27.87,7.49
1498,jsat,32238 (6.40-6.80),32239 (4.56-4.95),4822.95458984375,0.02,6.04,0.46,9.4666,0.0,0.0482738,8.48,20.94,7.93,9.47235,0.0,0.10587,8.5,14.9,8.39
930,jsat,32228 (5.22-5.50),34189 (2.87-3.20),4835.16748046875,3.99,3.16,0.66,25.7248,9.63407,,11.81,21.24,8.03,18.8352,5.00709,0.0,15.8,24.4,7.37
734,jsat,32225 (4.52-4.95),32931 (2.50-2.77),4884.0087890625,3.02,22.78,1.07,19.1233,3.4687,,9.43,21.37,7.8,9.73876,0.0245049,0.0,12.45,44.15,6.73
1770,jsat,32932 (3.50-3.91),32930 (2.64-2.85),4896.2138671875,2.08,1.84,0.2,18.6043,3.35945,0.0,14.7,28.91,7.83,18.8147,0.0237066,0.0,12.62,30.75,7.63
370,jsat,32201 (2.55-2.77),32237 (3.74-4.01),4932.84521484375,1.53,17.23,1.77,9.59389,0.0,,7.05,29.71,7.32,9.4875,0.0,0.0881912,8.58,12.48,9.09
73,jsat,28767 (5.90-6.31),32225 (5.52-5.95),4945.0546875,5.15,13.42,2.5,2.15433,0.0,,4.28,11.98,5.13,9.65691,3.46728,,9.43,25.4,7.63
469,jsat,32201 (3.66-3.93),32235 (3.49-3.87),4981.6875,6.62,0.72,0.3,19.098,0.0,,7.05,19.94,7.7,25.5696,0.0,0.962967,13.67,20.66,8.0
36,jsat,28767 (2.00-2.50),32239 (5.80-6.10),5079.365234375,4.71,5.01,3.12,1.34941,0.0,,4.04,15.88,5.9,9.46983,0.0,0.0811663,8.75,10.87,9.02
30,jsat,28767 (2.00-2.50),32238 (4.63-5.06),5091.57421875,4.47,3.88,2.09,1.34941,0.0,,4.04,15.88,5.9,9.47207,0.0,0.177642,8.51,19.76,7.99
1298,jsat,32235 (6.07-6.42),32931 (5.70-6.00),5103.783203125,1.2,2.25,0.24,25.5268,0.0,0.862729,13.49,19.34,7.61,18.6992,10.9195,0.0,12.29,21.59,7.85
780,jsat,32225 (5.52-5.95),32238 (3.58-3.84),5103.7841796875,0.94,3.25,0.21,9.65691,3.46728,,9.43,25.4,7.63,9.47125,0.0,0.0842352,8.49,22.15,7.84
354,jsat,32201 (2.55-2.77),32225 (5.52-5.95),5115.99560546875,2.38,4.31,0.31,9.59389,0.0,,7.05,29.71,7.32,9.65691,3.46728,,9.43,25.4,7.63
591,jsat,32201 (5.90-6.20),32931 (3.48-3.76),5140.4169921875,3.06,1.04,0.15,9.6541,0.0,,9.55,40.11,7.37,9.73754,2.76119,0.0,12.61,39.07,7.22
1282,jsat,32235 (5.55-5.98),32930 (2.64-2.85),5152.6279296875,1.04,10.86,0.15,25.5361,0.0,0.926972,13.66,19.89,7.48,18.8147,0.0237066,0.0,12.62,30.75,7.63
1351,jsat,32237 (2.37-2.98),32238 (2.46-2.72),5164.83447265625,0.07,3.71,0.31,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.47367,0.0,0.0287791,8.54,27.87,7.49
381,jsat,32201 (2.55-2.77),32931 (2.50-2.77),5177.04541015625,5.4,14.44,0.59,9.59389,0.0,,7.05,29.71,7.32,9.73876,0.0245049,0.0,12.45,44.15,6.73
1499,jsat,32238 (6.40-6.80),32239 (5.80-6.10),5213.67529296875,0.27,10.07,1.09,9.4666,0.0,0.0482738,8.48,20.94,7.93,9.46983,0.0,0.0811663,8.75,10.87,9.02
96,jsat,28767 (5.90-6.31),32239 (4.56-4.95),5250.30517578125,4.22,2.92,3.26,2.15433,0.0,,4.28,11.98,5.13,9.47235,0.0,0.10587,8.5,14.9,8.39
1299,jsat,32235 (6.07-6.42),32931 (6.35-6.50),5262.51513671875,0.67,6.4,0.18,25.5268,0.0,0.862729,13.49,19.34,7.61,18.6919,0.257304,0.0,12.82,25.74,7.79
1523,jsat,32239 (3.20-3.40),32238 (3.58-3.84),5360.19384765625,0.04,0.31,0.12,9.47453,0.0,0.0793621,8.45,22.46,7.96,9.47125,0.0,0.0842352,8.49,22.15,7.84
1358,jsat,32237 (2.37-2.98),32239 (5.80-6.10),5384.6162109375,0.28,13.29,1.22,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.46983,0.0,0.0811663,8.75,10.87,9.02
1837,jsat,34188 (4.28-4.45),34189 (2.87-3.20),5396.8232421875,0.53,9.29,1.06,18.8255,4.51156,0.0,15.27,15.11,8.43,18.8352,5.00709,0.0,15.8,24.4,7.37
1332,jsat,32235 (6.49-6.84),32931 (5.70-6.00),5409.0322265625,1.6,0.53,0.56,25.5133,0.0,0.274347,13.89,22.12,7.29,18.6992,10.9195,0.0,12.29,21.59,7.85
1824,jsat,34188 (2.24-2.41),32930 (2.64-2.85),5531.13623046875,3.35,10.36,0.26,18.8204,0.0298251,0.0,15.97,41.11,7.89,18.8147,0.0237066,0.0,12.62,30.75,7.63
743,jsat,32225 (4.52-4.95),34165 (2.00-2.33),5543.3505859375,,3.4,1.3,19.1233,3.4687,,9.43,21.37,7.8,18.8512,0.0243271,0.0,,17.97,6.5
714,jsat,32225 (4.52-4.95),32234 (3.50-3.70),5579.97998046875,3.91,2.63,0.99,19.1233,3.4687,,9.43,21.37,7.8,25.546,0.0,2.14927,13.34,18.74,8.79
27,jsat,28767 (2.00-2.50),32237 (2.37-2.98),5616.60595703125,4.43,8.28,1.9,1.34941,0.0,,4.04,15.88,5.9,9.48679,0.0,0.0285357,8.47,24.16,7.8
1160,jsat,32234 (5.10-5.55),32931 (3.48-3.76),5616.60595703125,0.04,31.31,1.6,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.73754,2.76119,0.0,12.61,39.07,7.22
1546,jsat,32239 (3.90-4.20),32238 (3.58-3.84),5641.025390625,0.1,3.48,0.27,9.47201,0.0,0.122662,8.39,18.67,8.11,9.47125,0.0,0.0842352,8.49,22.15,7.84
1752,jsat,32932 (2.51-2.91),34189 (2.87-3.20),5726.49853515625,1.09,13.86,0.26,18.6118,0.02595,0.0,14.71,38.26,7.63,18.8352,5.00709,0.0,15.8,24.4,7.37
549,jsat,32201 (4.55-4.81),34188 (2.24-2.41),5824.17724609375,6.32,15.76,0.15,19.1003,0.0,,9.65,25.35,7.74,18.8204,0.0298251,0.0,15.97,41.11,7.89
