,Quantity,Signal 1,Signal 2,DTW,Delta Ptot,Delta Tdiv,Delta nbar,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar
93,jsat,28767 (5.90-6.31),32238 (6.40-6.80),476.1904296875,4.2,8.96,2.8,2.15433,0.0,,4.28,11.98,5.13,9.4666,0.0,0.0482738,8.48,20.94,7.93
1354,jsat,32237 (2.37-2.98),32238 (6.40-6.80),549.44970703125,0.01,3.22,0.13,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.4666,0.0,0.0482738,8.48,20.94,7.93
1352,jsat,32237 (2.37-2.98),32238 (4.63-5.06),671.54931640625,0.04,4.4,0.19,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.47207,0.0,0.177642,8.51,19.76,7.99
1442,jsat,32238 (4.63-5.06),32239 (3.20-3.40),744.810546875,0.06,2.7,0.03,9.47207,0.0,0.177642,8.51,19.76,7.99,9.47453,0.0,0.0793621,8.45,22.46,7.96
1443,jsat,32238 (4.63-5.06),32239 (3.90-4.20),805.8603515625,0.12,1.09,0.12,9.47207,0.0,0.177642,8.51,19.76,7.99,9.47201,0.0,0.122662,8.39,18.67,8.11
1090,jsat,32234 (3.50-3.70),34165 (2.00-2.33),891.33056640625,,0.77,2.29,25.546,0.0,2.14927,13.34,18.74,8.79,18.8512,0.0243271,0.0,,17.97,6.5
1356,jsat,32237 (2.37-2.98),32239 (3.90-4.20),940.17138671875,0.08,5.49,0.31,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.47201,0.0,0.122662,8.39,18.67,8.11
88,jsat,28767 (5.90-6.31),32237 (2.37-2.98),976.7998046875,4.19,12.18,2.67,2.15433,0.0,,4.28,11.98,5.13,9.48679,0.0,0.0285357,8.47,24.16,7.8
91,jsat,28767 (5.90-6.31),32238 (4.63-5.06),1074.47998046875,4.23,7.78,2.86,2.15433,0.0,,4.28,11.98,5.13,9.47207,0.0,0.177642,8.51,19.76,7.99
1355,jsat,32237 (2.37-2.98),32239 (3.20-3.40),1123.32080078125,0.02,1.7,0.16,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.47453,0.0,0.0793621,8.45,22.46,7.96
95,jsat,28767 (5.90-6.31),32239 (3.90-4.20),1355.3115234375,4.11,6.69,2.98,2.15433,0.0,,4.28,11.98,5.13,9.47201,0.0,0.122662,8.39,18.67,8.11
1497,jsat,32238 (6.40-6.80),32239 (3.90-4.20),1367.52099609375,0.09,2.27,0.18,9.4666,0.0,0.0482738,8.48,20.94,7.93,9.47201,0.0,0.122662,8.39,18.67,8.11
1082,jsat,32234 (3.50-3.70),32931 (3.48-3.76),1465.20263671875,0.73,20.33,1.57,25.546,0.0,2.14927,13.34,18.74,8.79,9.73754,2.76119,0.0,12.61,39.07,7.22
590,jsat,32201 (5.90-6.20),32931 (2.50-2.77),1562.88134765625,2.9,4.04,0.64,9.6541,0.0,,9.55,40.11,7.37,9.73876,0.0245049,0.0,12.45,44.15,6.73
1496,jsat,32238 (6.40-6.80),32239 (3.20-3.40),1599.51025390625,0.03,1.52,0.03,9.4666,0.0,0.0482738,8.48,20.94,7.93,9.47453,0.0,0.0793621,8.45,22.46,7.96
472,jsat,32201 (3.66-3.93),32235 (6.07-6.42),1599.5107421875,6.44,0.6,0.09,19.098,0.0,,7.05,19.94,7.7,25.5268,0.0,0.862729,13.49,19.34,7.61
1150,jsat,32234 (5.10-5.55),32238 (4.63-5.06),1599.51123046875,4.06,12.0,0.83,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.47207,0.0,0.177642,8.51,19.76,7.99
94,jsat,28767 (5.90-6.31),32239 (3.20-3.40),1709.40087890625,4.17,10.48,2.83,2.15433,0.0,,4.28,11.98,5.13,9.47453,0.0,0.0793621,8.45,22.46,7.96
