,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
557,0.17,23.89,0.94,jsat,2,,32233 (2.76-2.96),25.778,0.0,0.0308418,12.4,31.65,7.88,32234 (5.10-5.55),25.5233,0.0,0.0506868,12.57,7.76,8.82,19950.4003147
519,0.85,7.32,0.05,jsat,,2,32228 (6.20-6.48),25.7023,12.8457,,11.52,21.79,7.96,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,19954.0883129
241,2.82,11.0,0.54,jsat,2,2,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,20099.7456956
764,5.18,5.28,0.9,jsat,,,32235 (4.03-5.00),25.5597,0.0,0.934225,13.68,20.18,7.49,32239 (4.56-4.95),9.47235,0.0,0.10587,8.5,14.9,8.39,20109.1662967
40,10.78,7.46,2.63,jsat,2,,28767 (2.00-2.50),1.34941,0.0,,4.04,15.88,5.9,32932 (6.35-6.50),18.5579,0.292389,0.0,14.82,23.34,8.53,20150.2786469
423,3.49,9.75,0.48,jsat,2,,32228 (3.72-4.00),25.7514,4.76522,,11.99,24.65,7.91,32239 (4.56-4.95),9.47235,0.0,0.10587,8.5,14.9,8.39,20179.6430002
525,2.14,1.9,0.48,jsat,,,32228 (6.20-6.48),25.7023,12.8457,,11.52,21.79,7.96,32235 (5.55-5.98),25.5361,0.0,0.926972,13.66,19.89,7.48,20201.5130248
787,5.2,3.37,0.68,jsat,,,32235 (5.55-5.98),25.5361,0.0,0.926972,13.66,19.89,7.48,32238 (5.72-6.08),9.46889,0.0,0.0927535,8.46,16.52,8.16,20205.0921536
978,7.34,7.88,0.79,jsat,,2,32238 (5.72-6.08),9.46889,0.0,0.0927535,8.46,16.52,8.16,34189 (2.87-3.20),18.8352,5.00709,0.0,15.8,24.4,7.37,20280.2266158
552,4.28,2.61,0.59,jsat,,2,32228 (6.20-6.48),25.7023,12.8457,,11.52,21.79,7.96,34189 (2.87-3.20),18.8352,5.00709,0.0,15.8,24.4,7.37,20281.8897651
