,Quantity,Signal 1,Signal 2,DTW,Delta Ptot,Delta Tdiv,Delta nbar,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar
1354,jsat,32237 (2.37-2.98),32238 (6.40-6.80),61.05006408691406,0.01,3.22,0.13,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.4666,0.0,0.0482738,8.48,20.94,7.93
1071,jsat,32234 (3.50-3.70),32238 (2.46-2.72),73.26011657714844,4.8,9.13,1.3,25.546,0.0,2.14927,13.34,18.74,8.79,9.47367,0.0,0.0287791,8.54,27.87,7.49
1288,jsat,32235 (6.07-6.42),32238 (6.40-6.80),85.47007751464844,5.01,1.6,0.32,25.5268,0.0,0.862729,13.49,19.34,7.61,9.4666,0.0,0.0482738,8.48,20.94,7.93
858,jsat,32228 (4.42-4.72),32237 (2.37-2.98),85.47007751464844,3.47,0.73,0.17,25.7448,7.0675,,11.94,23.43,7.97,9.48679,0.0,0.0285357,8.47,24.16,7.8
1284,jsat,32235 (6.07-6.42),32237 (3.74-4.01),97.68008422851562,4.91,6.86,1.48,25.5268,0.0,0.862729,13.49,19.34,7.61,9.4875,0.0,0.0881912,8.58,12.48,9.09
1070,jsat,32234 (3.50-3.70),32237 (3.74-4.01),97.68009948730469,4.76,6.26,0.3,25.546,0.0,2.14927,13.34,18.74,8.79,9.4875,0.0,0.0881912,8.58,12.48,9.09
1386,jsat,32237 (3.74-4.01),32238 (6.40-6.80),109.89009094238281,0.1,8.46,1.16,9.4875,0.0,0.0881912,8.58,12.48,9.09,9.4666,0.0,0.0482738,8.48,20.94,7.93
1250,jsat,32235 (5.55-5.98),32237 (3.74-4.01),109.89010620117188,5.08,7.41,1.61,25.5361,0.0,0.926972,13.66,19.89,7.48,9.4875,0.0,0.0881912,8.58,12.48,9.09
1499,jsat,32238 (6.40-6.80),32239 (5.80-6.10),109.89012145996094,0.27,10.07,1.09,9.4666,0.0,0.0482738,8.48,20.94,7.93,9.46983,0.0,0.0811663,8.75,10.87,9.02
1358,jsat,32237 (2.37-2.98),32239 (5.80-6.10),122.10008239746094,0.28,13.29,1.22,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.46983,0.0,0.0811663,8.75,10.87,9.02
1497,jsat,32238 (6.40-6.80),32239 (3.90-4.20),122.10008239746094,0.09,2.27,0.18,9.4666,0.0,0.0482738,8.48,20.94,7.93,9.47201,0.0,0.122662,8.39,18.67,8.11
1390,jsat,32237 (3.74-4.01),32239 (5.80-6.10),122.10011291503906,0.17,1.61,0.07,9.4875,0.0,0.0881912,8.58,12.48,9.09,9.46983,0.0,0.0811663,8.75,10.87,9.02
1152,jsat,32234 (5.10-5.55),32238 (6.40-6.80),134.31011962890625,4.09,13.18,0.89,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.4666,0.0,0.0482738,8.48,20.94,7.93
1154,jsat,32234 (5.10-5.55),32239 (3.90-4.20),134.3101348876953,4.18,10.91,0.71,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.47201,0.0,0.122662,8.39,18.67,8.11
1249,jsat,32235 (5.55-5.98),32237 (2.37-2.98),134.3101348876953,5.19,4.27,0.32,25.5361,0.0,0.926972,13.66,19.89,7.48,9.48679,0.0,0.0285357,8.47,24.16,7.8
1283,jsat,32235 (6.07-6.42),32237 (2.37-2.98),146.52011108398438,5.02,4.82,0.19,25.5268,0.0,0.862729,13.49,19.34,7.61,9.48679,0.0,0.0285357,8.47,24.16,7.8
1325,jsat,32235 (6.49-6.84),32239 (4.56-4.95),146.52011108398438,5.39,7.22,1.1,25.5133,0.0,0.274347,13.89,22.12,7.29,9.47235,0.0,0.10587,8.5,14.9,8.39
1258,jsat,32235 (5.55-5.98),32239 (5.80-6.10),146.52012634277344,4.91,9.02,1.54,25.5361,0.0,0.926972,13.66,19.89,7.48,9.46983,0.0,0.0811663,8.75,10.87,9.02
1145,jsat,32234 (5.10-5.55),32235 (6.07-6.42),146.52012634277344,0.92,11.58,1.21,25.5233,0.0,0.0506868,12.57,7.76,8.82,25.5268,0.0,0.862729,13.49,19.34,7.61
1113,jsat,32234 (4.69-4.94),32238 (6.40-6.80),146.52015686035156,3.91,15.66,1.86,25.5276,0.0,0.0676609,12.39,5.28,9.79,9.4666,0.0,0.0482738,8.48,20.94,7.93
1066,jsat,32234 (3.50-3.70),32235 (5.55-5.98),158.73013305664062,0.32,1.15,1.31,25.546,0.0,2.14927,13.34,18.74,8.79,25.5361,0.0,0.926972,13.66,19.89,7.48
863,jsat,32228 (4.42-4.72),32238 (6.40-6.80),158.7301483154297,3.46,2.49,0.04,25.7448,7.0675,,11.94,23.43,7.97,9.4666,0.0,0.0482738,8.48,20.94,7.93
1106,jsat,32234 (4.69-4.94),32235 (6.07-6.42),158.7301483154297,1.1,14.06,2.18,25.5276,0.0,0.0676609,12.39,5.28,9.79,25.5268,0.0,0.862729,13.49,19.34,7.61
1115,jsat,32234 (4.69-4.94),32239 (3.90-4.20),158.7301788330078,4.0,13.39,1.68,25.5276,0.0,0.0676609,12.39,5.28,9.79,9.47201,0.0,0.122662,8.39,18.67,8.11
1251,jsat,32235 (5.55-5.98),32238 (2.46-2.72),158.73019409179688,5.12,7.98,0.01,25.5361,0.0,0.926972,13.66,19.89,7.48,9.47367,0.0,0.0287791,8.54,27.87,7.49
855,jsat,32228 (4.42-4.72),32235 (5.55-5.98),170.94012451171875,1.72,3.54,0.49,25.7448,7.0675,,11.94,23.43,7.97,25.5361,0.0,0.926972,13.66,19.89,7.48
1444,jsat,32238 (4.63-5.06),32239 (4.56-4.95),170.9401397705078,0.01,4.86,0.4,9.47207,0.0,0.177642,8.51,19.76,7.99,9.47235,0.0,0.10587,8.5,14.9,8.39
1357,jsat,32237 (2.37-2.98),32239 (4.56-4.95),170.94015502929688,0.03,9.26,0.59,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.47235,0.0,0.10587,8.5,14.9,8.39
1292,jsat,32235 (6.07-6.42),32239 (5.80-6.10),170.94017028808594,4.74,8.47,1.41,25.5268,0.0,0.862729,13.49,19.34,7.61,9.46983,0.0,0.0811663,8.75,10.87,9.02
1383,jsat,32237 (3.74-4.01),32238 (2.46-2.72),170.940185546875,0.04,15.39,1.6,9.4875,0.0,0.0881912,8.58,12.48,9.09,9.47367,0.0,0.0287791,8.54,27.87,7.49
1317,jsat,32235 (6.49-6.84),32237 (2.37-2.98),170.940185546875,5.42,2.04,0.51,25.5133,0.0,0.274347,13.89,22.12,7.29,9.48679,0.0,0.0285357,8.47,24.16,7.8
856,jsat,32228 (4.42-4.72),32235 (6.07-6.42),183.15016174316406,1.55,4.09,0.36,25.7448,7.0675,,11.94,23.43,7.97,25.5268,0.0,0.862729,13.49,19.34,7.61
1290,jsat,32235 (6.07-6.42),32239 (3.90-4.20),183.1501922607422,5.1,0.67,0.5,25.5268,0.0,0.862729,13.49,19.34,7.61,9.47201,0.0,0.122662,8.39,18.67,8.11
1356,jsat,32237 (2.37-2.98),32239 (3.90-4.20),183.1501922607422,0.08,5.49,0.31,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.47201,0.0,0.122662,8.39,18.67,8.11
866,jsat,32228 (4.42-4.72),32239 (4.56-4.95),183.1501922607422,3.44,8.53,0.42,25.7448,7.0675,,11.94,23.43,7.97,9.47235,0.0,0.10587,8.5,14.9,8.39
1148,jsat,32234 (5.10-5.55),32237 (3.74-4.01),195.3601837158203,3.99,4.72,0.27,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.4875,0.0,0.0881912,8.58,12.48,9.09
1147,jsat,32234 (5.10-5.55),32237 (2.37-2.98),195.3601837158203,4.1,16.4,1.02,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.48679,0.0,0.0285357,8.47,24.16,7.8
1291,jsat,32235 (6.07-6.42),32239 (4.56-4.95),195.36019897460938,4.99,4.44,0.78,25.5268,0.0,0.862729,13.49,19.34,7.61,9.47235,0.0,0.10587,8.5,14.9,8.39
1069,jsat,32234 (3.50-3.70),32237 (2.37-2.98),195.36021423339844,4.87,5.42,0.99,25.546,0.0,2.14927,13.34,18.74,8.79,9.48679,0.0,0.0285357,8.47,24.16,7.8
1074,jsat,32234 (3.50-3.70),32238 (6.40-6.80),195.36021423339844,4.86,2.2,0.86,25.546,0.0,2.14927,13.34,18.74,8.79,9.4666,0.0,0.0482738,8.48,20.94,7.93
867,jsat,32228 (4.42-4.72),32239 (5.80-6.10),207.57015991210938,3.19,12.56,1.05,25.7448,7.0675,,11.94,23.43,7.97,9.46983,0.0,0.0811663,8.75,10.87,9.02
1498,jsat,32238 (6.40-6.80),32239 (4.56-4.95),207.57020568847656,0.02,6.04,0.46,9.4666,0.0,0.0482738,8.48,20.94,7.93,9.47235,0.0,0.10587,8.5,14.9,8.39
857,jsat,32228 (4.42-4.72),32235 (6.49-6.84),207.57020568847656,1.95,1.31,0.68,25.7448,7.0675,,11.94,23.43,7.97,25.5133,0.0,0.274347,13.89,22.12,7.29
1108,jsat,32234 (4.69-4.94),32237 (2.37-2.98),207.57020568847656,3.92,18.88,1.99,25.5276,0.0,0.0676609,12.39,5.28,9.79,9.48679,0.0,0.0285357,8.47,24.16,7.8
1254,jsat,32235 (5.55-5.98),32238 (6.40-6.80),207.5702362060547,5.18,1.05,0.45,25.5361,0.0,0.926972,13.66,19.89,7.48,9.4666,0.0,0.0482738,8.48,20.94,7.93
1320,jsat,32235 (6.49-6.84),32238 (4.63-5.06),219.78016662597656,5.38,2.36,0.7,25.5133,0.0,0.274347,13.89,22.12,7.29,9.47207,0.0,0.177642,8.51,19.76,7.99
865,jsat,32228 (4.42-4.72),32239 (3.90-4.20),219.7801971435547,3.55,4.76,0.14,25.7448,7.0675,,11.94,23.43,7.97,9.47201,0.0,0.122662,8.39,18.67,8.11
1067,jsat,32234 (3.50-3.70),32235 (6.07-6.42),219.7801971435547,0.15,0.6,1.18,25.546,0.0,2.14927,13.34,18.74,8.79,25.5268,0.0,0.862729,13.49,19.34,7.61
1109,jsat,32234 (4.69-4.94),32237 (3.74-4.01),231.99021911621094,3.81,7.2,0.7,25.5276,0.0,0.0676609,12.39,5.28,9.79,9.4875,0.0,0.0881912,8.58,12.48,9.09
1322,jsat,32235 (6.49-6.84),32238 (6.40-6.80),231.99021911621094,5.41,1.18,0.64,25.5133,0.0,0.274347,13.89,22.12,7.29,9.4666,0.0,0.0482738,8.48,20.94,7.93
850,jsat,32228 (4.42-4.72),32234 (3.50-3.70),244.20021057128906,1.4,4.69,0.82,25.7448,7.0675,,11.94,23.43,7.97,25.546,0.0,2.14927,13.34,18.74,8.79
1078,jsat,32234 (3.50-3.70),32239 (5.80-6.10),244.20022583007812,4.59,7.87,0.23,25.546,0.0,2.14927,13.34,18.74,8.79,9.46983,0.0,0.0811663,8.75,10.87,9.02
1351,jsat,32237 (2.37-2.98),32238 (2.46-2.72),244.2002716064453,0.07,3.71,0.31,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.47367,0.0,0.0287791,8.54,27.87,7.49
1324,jsat,32235 (6.49-6.84),32239 (3.90-4.20),256.4102478027344,5.5,3.45,0.82,25.5133,0.0,0.274347,13.89,22.12,7.29,9.47201,0.0,0.122662,8.39,18.67,8.11
1389,jsat,32237 (3.74-4.01),32239 (4.56-4.95),268.6202392578125,0.08,2.42,0.7,9.4875,0.0,0.0881912,8.58,12.48,9.09,9.47235,0.0,0.10587,8.5,14.9,8.39
1156,jsat,32234 (5.10-5.55),32239 (5.80-6.10),268.6202697753906,3.82,3.11,0.2,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.46983,0.0,0.0811663,8.75,10.87,9.02
1285,jsat,32235 (6.07-6.42),32238 (2.46-2.72),293.04026794433594,4.95,8.53,0.12,25.5268,0.0,0.862729,13.49,19.34,7.61,9.47367,0.0,0.0287791,8.54,27.87,7.49
1352,jsat,32237 (2.37-2.98),32238 (4.63-5.06),293.04026794433594,0.04,4.4,0.19,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.47207,0.0,0.177642,8.51,19.76,7.99
1326,jsat,32235 (6.49-6.84),32239 (5.80-6.10),293.04026794433594,5.14,11.25,1.73,25.5133,0.0,0.274347,13.89,22.12,7.29,9.46983,0.0,0.0811663,8.75,10.87,9.02
1146,jsat,32234 (5.10-5.55),32235 (6.49-6.84),293.040283203125,1.32,14.36,1.53,25.5233,0.0,0.0506868,12.57,7.76,8.82,25.5133,0.0,0.274347,13.89,22.12,7.29
1149,jsat,32234 (5.10-5.55),32238 (2.46-2.72),293.04029846191406,4.03,20.11,1.33,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.47367,0.0,0.0287791,8.54,27.87,7.49
1388,jsat,32237 (3.74-4.01),32239 (3.90-4.20),305.25025939941406,0.19,6.19,0.98,9.4875,0.0,0.0881912,8.58,12.48,9.09,9.47201,0.0,0.122662,8.39,18.67,8.11
860,jsat,32228 (4.42-4.72),32238 (2.46-2.72),305.2502746582031,3.4,4.44,0.48,25.7448,7.0675,,11.94,23.43,7.97,9.47367,0.0,0.0287791,8.54,27.87,7.49
852,jsat,32228 (4.42-4.72),32234 (5.10-5.55),305.2502746582031,0.63,15.67,0.85,25.7448,7.0675,,11.94,23.43,7.97,25.5233,0.0,0.0506868,12.57,7.76,8.82
1107,jsat,32234 (4.69-4.94),32235 (6.49-6.84),305.2502899169922,1.5,16.84,2.5,25.5276,0.0,0.0676609,12.39,5.28,9.79,25.5133,0.0,0.274347,13.89,22.12,7.29
1117,jsat,32234 (4.69-4.94),32239 (5.80-6.10),305.25030517578125,3.64,5.59,0.77,25.5276,0.0,0.0676609,12.39,5.28,9.79,9.46983,0.0,0.0811663,8.75,10.87,9.02
851,jsat,32228 (4.42-4.72),32234 (4.69-4.94),317.4602966308594,0.45,18.15,1.82,25.7448,7.0675,,11.94,23.43,7.97,25.5276,0.0,0.0676609,12.39,5.28,9.79
