,Quantity,Signal 1,Signal 2,DTW,
373,jsat,32201 (2.55-2.77),32238 (5.72-6.08),407399.26594543457,
670,jsat,32225 (3.52-3.70),32235 (4.03-5.00),407570.1960296631,
475,jsat,32201 (3.66-3.93),32237 (3.74-4.01),408034.1812438965,
674,jsat,32225 (3.52-3.70),32237 (2.37-2.98),408608.0496368408,
555,jsat,32201 (4.55-4.81),34189 (4.25-4.50),409426.12109375,
1652,jsat,32239 (2.11-2.47),34188 (4.28-4.45),409450.5520172119,
470,jsat,32201 (3.66-3.93),32235 (4.03-5.00),411159.9421234131,
474,jsat,32201 (3.66-3.93),32237 (2.37-2.98),412197.7957305908,
972,jsat,32228 (6.20-6.48),34188 (4.28-4.45),412417.57986450195,
668,jsat,32225 (3.52-3.70),32234 (5.10-5.55),412979.23263549805,
450,jsat,32233 (2.76-2.96),34189 (2.87-3.20),414676.40869140625,
468,jsat,32201 (3.66-3.93),32234 (5.10-5.55),415641.01779174805,
369,jsat,32201 (2.55-2.77),32237 (2.37-2.98),416459.0945587158,
681,jsat,32225 (3.52-3.70),32239 (3.90-4.20),416984.116897583,
374,jsat,32201 (2.55-2.77),32238 (6.40-6.80),417008.5464324951,
362,jsat,32201 (2.55-2.77),32234 (4.69-4.94),417826.6126861572,
481,jsat,32201 (3.66-3.93),32239 (3.90-4.20),419645.902053833,
379,jsat,32201 (2.55-2.77),32238 (3.58-3.84),421159.9473876953,
365,jsat,32201 (2.55-2.77),32235 (4.03-5.00),421648.3464202881,
684,jsat,32225 (3.52-3.70),32238 (3.58-3.84),423235.6417236328,
445,jsat,32233 (2.76-2.96),34188 (2.24-2.41),427545.7783203125,
484,jsat,32201 (3.66-3.93),32238 (3.58-3.84),427753.3487548828,
888,jsat,32228 (4.42-4.72),34189 (5.25-5.50),428412.71965026855,
367,jsat,32201 (2.55-2.77),32235 (6.07-6.42),430109.8858642578,
366,jsat,32201 (2.55-2.77),32235 (5.55-5.98),433553.10974121094,
557,jsat,32201 (4.55-4.81),34189 (6.25-6.50),434725.26953125,
672,jsat,32225 (3.52-3.70),32235 (6.07-6.42),439279.5968017578,
364,jsat,32201 (2.55-2.77),32235 (3.49-3.87),440024.41691589355,
1345,jsat,32235 (6.49-6.84),34189 (2.87-3.20),441941.3889312744,
344,jsat,30506 (4.93-5.03),34189 (2.87-3.20),442356.54138183594,
671,jsat,32225 (3.52-3.70),32235 (5.55-5.98),442722.82067871094,
1561,jsat,32239 (3.90-4.20),34188 (4.28-4.45),443418.8041687012,
472,jsat,32201 (3.66-3.93),32235 (6.07-6.42),444725.2647705078,
471,jsat,32201 (3.66-3.93),32235 (5.55-5.98),448168.48864746094,
1562,jsat,32239 (3.90-4.20),34188 (4.90-5.06),450317.4497833252,
380,jsat,32201 (2.55-2.77),32239 (2.11-2.47),450976.79664611816,
886,jsat,32228 (4.42-4.72),34189 (2.87-3.20),452283.2738494873,
368,jsat,32201 (2.55-2.77),32235 (6.49-6.84),453247.85719299316,
358,jsat,32201 (2.55-2.77),32228 (6.20-6.48),454615.38162231445,
346,jsat,30506 (4.93-5.03),34189 (5.25-5.50),455470.1102294922,
669,jsat,32225 (3.52-3.70),32235 (3.49-3.87),455579.96379089355,
363,jsat,32201 (2.55-2.77),32234 (5.10-5.55),455787.5407409668,
339,jsat,30506 (4.93-5.03),34188 (2.24-2.41),459365.08239746094,
469,jsat,32201 (3.66-3.93),32235 (3.49-3.87),461953.59269714355,
68,jsat,28767 (5.90-6.31),32201 (4.55-4.81),462857.1501464844,
1059,jsat,32233 (5.05-5.33),34189 (4.25-4.50),463040.271484375,
376,jsat,32201 (2.55-2.77),32239 (3.90-4.20),463235.6489562988,
340,jsat,30506 (4.93-5.03),34188 (3.25-3.42),464981.6815185547,
685,jsat,32225 (3.52-3.70),32239 (2.11-2.47),466532.34352111816,
663,jsat,32225 (3.52-3.70),32228 (6.20-6.48),470170.92849731445,
485,jsat,32201 (3.66-3.93),32239 (2.11-2.47),472905.97242736816,
463,jsat,32201 (3.66-3.93),32228 (6.20-6.48),476544.55740356445,
449,jsat,32233 (2.76-2.96),34188 (4.90-5.06),476703.296875,
356,jsat,32201 (2.55-2.77),32228 (4.42-4.72),478021.97160339355,
1061,jsat,32233 (5.05-5.33),34189 (6.25-6.50),481111.091796875,
18,jsat,28767 (2.00-2.50),32233 (5.05-5.33),484713.05712890625,
604,jsat,32201 (5.90-6.20),34188 (4.28-4.45),488559.20263671875,
722,jsat,32225 (4.52-4.95),32237 (2.37-2.98),491001.2088165283,
732,jsat,32225 (4.52-4.95),32238 (3.58-3.84),494285.7003173828,
715,jsat,32225 (4.52-4.95),32234 (4.69-4.94),494542.1087799072,
79,jsat,28767 (5.90-6.31),32233 (5.05-5.33),495811.9509277344,
718,jsat,32225 (4.52-4.95),32235 (4.03-5.00),499304.0134124756,
1563,jsat,32239 (3.90-4.20),34189 (2.87-3.20),500915.7496948242,
720,jsat,32225 (4.52-4.95),32235 (6.07-6.42),504517.6885986328,
452,jsat,32233 (2.76-2.96),34189 (5.25-5.50),510659.296875,
719,jsat,32225 (4.52-4.95),32235 (5.55-5.98),510805.8465576172,
717,jsat,32225 (4.52-4.95),32235 (3.49-3.87),512441.98918151855,
606,jsat,32201 (5.90-6.20),34189 (2.87-3.20),519035.38818359375,
733,jsat,32225 (4.52-4.95),32239 (2.11-2.47),523394.36891174316,
711,jsat,32225 (4.52-4.95),32228 (6.20-6.48),527032.9538879395,
721,jsat,32225 (4.52-4.95),32235 (6.49-6.84),528253.9509429932,
599,jsat,32201 (5.90-6.20),34165 (2.00-2.33),537252.7275390625,
729,jsat,32225 (4.52-4.95),32239 (3.90-4.20),547741.1329498291,
709,jsat,32225 (4.52-4.95),32228 (4.42-4.72),558205.1083221436,
530,jsat,32201 (4.55-4.81),32238 (5.72-6.08),559401.7093048096,
605,jsat,32201 (5.90-6.20),34188 (4.90-5.06),563687.4296875,
603,jsat,32201 (5.90-6.20),34188 (4.04-4.20),564358.953125,
526,jsat,32201 (4.55-4.81),32237 (2.37-2.98),568461.5379180908,
531,jsat,32201 (4.55-4.81),32238 (6.40-6.80),569010.9897918701,
519,jsat,32201 (4.55-4.81),32234 (4.69-4.94),569829.0560455322,
601,jsat,32201 (5.90-6.20),34188 (2.24-2.41),571636.126953125,
536,jsat,32201 (4.55-4.81),32238 (3.58-3.84),573162.3907470703,
522,jsat,32201 (4.55-4.81),32235 (4.03-5.00),573650.7897796631,
524,jsat,32201 (4.55-4.81),32235 (6.07-6.42),582112.3292236328,
1038,jsat,32233 (5.05-5.33),32239 (4.56-4.95),584725.2581481934,
523,jsat,32201 (4.55-4.81),32235 (5.55-5.98),585555.5531005859,
1034,jsat,32233 (5.05-5.33),32238 (5.72-6.08),593089.1155548096,
1033,jsat,32233 (5.05-5.33),32238 (4.63-5.06),595372.3851165771,
1039,jsat,32233 (5.05-5.33),32239 (5.80-6.10),598253.9486541748,
521,jsat,32201 (4.55-4.81),32235 (3.49-3.87),598327.2274627686,
1035,jsat,32233 (5.05-5.33),32238 (6.40-6.80),598962.1323699951,
1558,jsat,32239 (3.90-4.20),34188 (2.24-2.41),599719.1621246338,
1023,jsat,32233 (5.05-5.33),32234 (4.69-4.94),601758.2220611572,
1026,jsat,32233 (5.05-5.33),32235 (4.03-5.00),603699.6139984131,
1030,jsat,32233 (5.05-5.33),32237 (2.37-2.98),604737.4676055908,
520,jsat,32201 (4.55-4.81),32234 (5.10-5.55),607789.9841003418,
537,jsat,32201 (4.55-4.81),32239 (2.11-2.47),609279.6071929932,
1559,jsat,32239 (3.90-4.20),34188 (3.25-3.42),609951.1526794434,
1040,jsat,32233 (5.05-5.33),32238 (3.58-3.84),611660.5421142578,
515,jsat,32201 (4.55-4.81),32228 (6.20-6.48),612918.1921691895,
533,jsat,32201 (4.55-4.81),32239 (3.90-4.20),615238.0923156738,
525,jsat,32201 (4.55-4.81),32235 (6.49-6.84),617851.0349273682,
1028,jsat,32233 (5.05-5.33),32235 (6.07-6.42),619999.9796142578,
1027,jsat,32233 (5.05-5.33),32235 (5.55-5.98),623443.2034912109,
1024,jsat,32233 (5.05-5.33),32234 (5.10-5.55),626434.6569519043,
608,jsat,32201 (5.90-6.20),34189 (5.25-5.50),627789.9560546875,
1025,jsat,32233 (5.05-5.33),32235 (3.49-3.87),628595.8290252686,
1037,jsat,32233 (5.05-5.33),32239 (3.90-4.20),631587.2825317383,
444,jsat,32233 (2.76-2.96),34165 (3.52-3.70),635274.7060546875,
1041,jsat,32233 (5.05-5.33),32239 (2.11-2.47),639548.2087554932,
1029,jsat,32233 (5.05-5.33),32235 (6.49-6.84),640500.5876617432,
937,jsat,32228 (6.20-6.48),32233 (5.05-5.33),643186.7937316895,
513,jsat,32201 (4.55-4.81),32228 (4.42-4.72),655225.8837127686,
169,jsat,30506 (3.21-3.27),34188 (3.25-3.42),689890.111328125,
451,jsat,32233 (2.76-2.96),34189 (4.25-4.50),717716.693359375,
600,jsat,32201 (5.90-6.20),34165 (3.52-3.70),745543.33203125,
453,jsat,32233 (2.76-2.96),34189 (6.25-6.50),755665.416015625,
607,jsat,32201 (5.90-6.20),34189 (4.25-4.50),813992.6494140625,
609,jsat,32201 (5.90-6.20),34189 (6.25-6.50),847399.2451171875,
226,jsat,30506 (3.53-3.71),34188 (3.25-3.42),852368.7174072266,
225,jsat,30506 (3.53-3.71),34188 (2.24-2.41),852527.4815673828,
294,jsat,30506 (4.93-5.03),32233 (2.76-2.96),867619.0242919922,
411,jsat,32233 (2.76-2.96),32228 (4.42-4.72),957264.9286346436,
573,jsat,32201 (5.90-6.20),32235 (3.49-3.87),1016056.150314331,
290,jsat,30506 (4.31-4.41),34189 (6.25-6.50),1018559.200378418,
429,jsat,32233 (2.76-2.96),32239 (3.90-4.20),1026434.6501922607,
288,jsat,30506 (4.31-4.41),34189 (4.25-4.50),1027985.331237793,
232,jsat,30506 (3.53-3.71),34189 (5.25-5.50),1032332.1036376953,
577,jsat,32201 (5.90-6.20),32235 (6.49-6.84),1035140.3933258057,
231,jsat,30506 (3.53-3.71),34189 (4.25-4.50),1036239.3048095703,
266,jsat,30506 (4.31-4.41),32239 (3.90-4.20),1038070.7976531982,
589,jsat,32201 (5.90-6.20),32239 (2.11-2.47),1039999.9831695557,
233,jsat,30506 (3.53-3.71),34189 (6.25-6.50),1041025.6290283203,
565,jsat,32201 (5.90-6.20),32228 (4.42-4.72),1046947.476486206,
567,jsat,32201 (5.90-6.20),32228 (6.20-6.48),1047399.249786377,
585,jsat,32201 (5.90-6.20),32239 (3.90-4.20),1092380.9331817627,
175,jsat,30506 (3.21-3.27),34189 (5.25-5.50),1097435.8774414062,
174,jsat,30506 (3.21-3.27),34189 (4.25-4.50),1127155.0454101562,
176,jsat,30506 (3.21-3.27),34189 (6.25-6.50),1137997.5375976562,
209,jsat,30506 (3.53-3.71),32239 (3.90-4.20),1144639.790359497,
289,jsat,30506 (4.31-4.41),34189 (5.25-5.50),1168791.212097168,
152,jsat,30506 (3.21-3.27),32239 (3.90-4.20),1342148.943145752,
1257,jsat,32235 (5.55-5.98),32239 (4.56-4.95),9.223372036854776e+18,
1252,jsat,32235 (5.55-5.98),32238 (4.63-5.06),9.223372036854776e+18,
1237,jsat,32235 (4.03-5.00),34165 (3.52-3.70),9.223372036854776e+18,
1190,jsat,32235 (3.49-3.87),32239 (5.80-6.10),9.223372036854776e+18,
1209,jsat,32235 (3.49-3.87),34189 (2.87-3.20),9.223372036854776e+18,
1189,jsat,32235 (3.49-3.87),32239 (4.56-4.95),9.223372036854776e+18,
1186,jsat,32235 (3.49-3.87),32238 (6.40-6.80),9.223372036854776e+18,
1185,jsat,32235 (3.49-3.87),32238 (5.72-6.08),9.223372036854776e+18,
1184,jsat,32235 (3.49-3.87),32238 (4.63-5.06),9.223372036854776e+18,
1182,jsat,32235 (3.49-3.87),32237 (3.74-4.01),9.223372036854776e+18,
1158,jsat,32234 (5.10-5.55),32239 (2.11-2.47),9.223372036854776e+18,
1216,jsat,32235 (4.03-5.00),32237 (3.74-4.01),9.223372036854776e+18,
1258,jsat,32235 (5.55-5.98),32239 (5.80-6.10),9.223372036854776e+18,
699,jsat,32225 (3.52-3.70),34188 (4.04-4.20),9.223372036854776e+18,
1284,jsat,32235 (6.07-6.42),32237 (3.74-4.01),9.223372036854776e+18,
586,jsat,32201 (5.90-6.20),32239 (4.56-4.95),9.223372036854776e+18,
587,jsat,32201 (5.90-6.20),32239 (5.80-6.10),9.223372036854776e+18,
588,jsat,32201 (5.90-6.20),32238 (3.58-3.84),9.223372036854776e+18,
1592,jsat,32239 (5.80-6.10),32238 (3.58-3.84),9.223372036854776e+18,
1630,jsat,32238 (3.58-3.84),34188 (4.28-4.45),9.223372036854776e+18,
1569,jsat,32239 (4.56-4.95),32238 (3.58-3.84),9.223372036854776e+18,
1654,jsat,32239 (2.11-2.47),34189 (2.87-3.20),9.223372036854776e+18,
1500,jsat,32238 (6.40-6.80),32239 (2.11-2.47),9.223372036854776e+18,
1473,jsat,32238 (5.72-6.08),32239 (2.11-2.47),9.223372036854776e+18,
1371,jsat,32237 (2.37-2.98),34165 (3.52-3.70),9.223372036854776e+18,
1326,jsat,32235 (6.49-6.84),32239 (5.80-6.10),9.223372036854776e+18,
1325,jsat,32235 (6.49-6.84),32239 (4.56-4.95),9.223372036854776e+18,
1322,jsat,32235 (6.49-6.84),32238 (6.40-6.80),9.223372036854776e+18,
1321,jsat,32235 (6.49-6.84),32238 (5.72-6.08),9.223372036854776e+18,
1320,jsat,32235 (6.49-6.84),32238 (4.63-5.06),9.223372036854776e+18,
1318,jsat,32235 (6.49-6.84),32237 (3.74-4.01),9.223372036854776e+18,
1310,jsat,32235 (6.07-6.42),34188 (4.90-5.06),9.223372036854776e+18,
1292,jsat,32235 (6.07-6.42),32239 (5.80-6.10),9.223372036854776e+18,
1286,jsat,32235 (6.07-6.42),32238 (4.63-5.06),9.223372036854776e+18,
1276,jsat,32235 (5.55-5.98),34188 (4.90-5.06),9.223372036854776e+18,
1291,jsat,32235 (6.07-6.42),32239 (4.56-4.95),9.223372036854776e+18,
1129,jsat,32234 (4.69-4.94),34165 (2.00-2.33),9.223372036854776e+18,
1133,jsat,32234 (4.69-4.94),34188 (4.04-4.20),9.223372036854776e+18,
858,jsat,32228 (4.42-4.72),32237 (2.37-2.98),9.223372036854776e+18,
854,jsat,32228 (4.42-4.72),32235 (4.03-5.00),9.223372036854776e+18,
852,jsat,32228 (4.42-4.72),32234 (5.10-5.55),9.223372036854776e+18,
851,jsat,32228 (4.42-4.72),32234 (4.69-4.94),9.223372036854776e+18,
673,jsat,32225 (3.52-3.70),32235 (6.49-6.84),9.223372036854776e+18,
849,jsat,32228 (4.42-4.72),32233 (5.05-5.33),9.223372036854776e+18,
796,jsat,32225 (5.52-5.95),34188 (4.28-4.45),9.223372036854776e+18,
794,jsat,32225 (5.52-5.95),34188 (3.25-3.42),9.223372036854776e+18,
793,jsat,32225 (5.52-5.95),34188 (2.24-2.41),9.223372036854776e+18,
779,jsat,32225 (5.52-5.95),32239 (5.80-6.10),9.223372036854776e+18,
778,jsat,32225 (5.52-5.95),32239 (4.56-4.95),9.223372036854776e+18,
771,jsat,32225 (5.52-5.95),32237 (3.74-4.01),9.223372036854776e+18,
757,jsat,32225 (5.52-5.95),32228 (4.42-4.72),9.223372036854776e+18,
750,jsat,32225 (4.52-4.95),34189 (2.87-3.20),9.223372036854776e+18,
731,jsat,32225 (4.52-4.95),32239 (5.80-6.10),9.223372036854776e+18,
730,jsat,32225 (4.52-4.95),32239 (4.56-4.95),9.223372036854776e+18,
727,jsat,32225 (4.52-4.95),32238 (6.40-6.80),9.223372036854776e+18,
726,jsat,32225 (4.52-4.95),32238 (5.72-6.08),9.223372036854776e+18,
725,jsat,32225 (4.52-4.95),32238 (4.63-5.06),9.223372036854776e+18,
723,jsat,32225 (4.52-4.95),32237 (3.74-4.01),9.223372036854776e+18,
716,jsat,32225 (4.52-4.95),32234 (5.10-5.55),9.223372036854776e+18,
859,jsat,32228 (4.42-4.72),32237 (3.74-4.01),9.223372036854776e+18,
861,jsat,32228 (4.42-4.72),32238 (4.63-5.06),9.223372036854776e+18,
862,jsat,32228 (4.42-4.72),32238 (5.72-6.08),9.223372036854776e+18,
863,jsat,32228 (4.42-4.72),32238 (6.40-6.80),9.223372036854776e+18,
695,jsat,32225 (3.52-3.70),34165 (2.00-2.33),9.223372036854776e+18,
1107,jsat,32234 (4.69-4.94),32235 (6.49-6.84),9.223372036854776e+18,
1058,jsat,32233 (5.05-5.33),34189 (2.87-3.20),9.223372036854776e+18,
1057,jsat,32233 (5.05-5.33),34188 (4.90-5.06),9.223372036854776e+18,
1056,jsat,32233 (5.05-5.33),34188 (4.28-4.45),9.223372036854776e+18,
1054,jsat,32233 (5.05-5.33),34188 (3.25-3.42),9.223372036854776e+18,
1053,jsat,32233 (5.05-5.33),34188 (2.24-2.41),9.223372036854776e+18,
1052,jsat,32233 (5.05-5.33),34165 (3.52-3.70),9.223372036854776e+18,
1031,jsat,32233 (5.05-5.33),32237 (3.74-4.01),9.223372036854776e+18,
583,jsat,32201 (5.90-6.20),32238 (6.40-6.80),9.223372036854776e+18,
1142,jsat,32234 (5.10-5.55),32235 (3.49-3.87),9.223372036854776e+18,
974,jsat,32228 (6.20-6.48),34189 (2.87-3.20),9.223372036854776e+18,
954,jsat,32228 (6.20-6.48),32239 (4.56-4.95),9.223372036854776e+18,
951,jsat,32228 (6.20-6.48),32238 (6.40-6.80),9.223372036854776e+18,
950,jsat,32228 (6.20-6.48),32238 (5.72-6.08),9.223372036854776e+18,
949,jsat,32228 (6.20-6.48),32238 (4.63-5.06),9.223372036854776e+18,
947,jsat,32228 (6.20-6.48),32237 (3.74-4.01),9.223372036854776e+18,
940,jsat,32228 (6.20-6.48),32234 (5.10-5.55),9.223372036854776e+18,
881,jsat,32228 (4.42-4.72),34188 (2.24-2.41),9.223372036854776e+18,
868,jsat,32228 (4.42-4.72),32238 (3.58-3.84),9.223372036854776e+18,
867,jsat,32228 (4.42-4.72),32239 (5.80-6.10),9.223372036854776e+18,
866,jsat,32228 (4.42-4.72),32239 (4.56-4.95),9.223372036854776e+18,
955,jsat,32228 (6.20-6.48),32239 (5.80-6.10),9.223372036854776e+18,
582,jsat,32201 (5.90-6.20),32238 (5.72-6.08),9.223372036854776e+18,
1250,jsat,32235 (5.55-5.98),32237 (3.74-4.01),9.223372036854776e+18,
228,jsat,30506 (3.53-3.71),34188 (4.28-4.45),9.223372036854776e+18,
284,jsat,30506 (4.31-4.41),34188 (4.04-4.20),9.223372036854776e+18,
413,jsat,32233 (2.76-2.96),32228 (6.20-6.48),9.223372036854776e+18,
285,jsat,30506 (4.31-4.41),34188 (4.28-4.45),9.223372036854776e+18,
286,jsat,30506 (4.31-4.41),34188 (4.90-5.06),9.223372036854776e+18,
287,jsat,30506 (4.31-4.41),34189 (2.87-3.20),9.223372036854776e+18,
183,jsat,30506 (3.53-3.71),32201 (5.90-6.20),9.223372036854776e+18,
409,jsat,32233 (2.76-2.96),32225 (5.52-5.95),9.223372036854776e+18,
408,jsat,32233 (2.76-2.96),32225 (4.52-4.95),9.223372036854776e+18,
407,jsat,32233 (2.76-2.96),32225 (3.52-3.70),9.223372036854776e+18,
404,jsat,32233 (2.76-2.96),32201 (4.55-4.81),9.223372036854776e+18,
403,jsat,32233 (2.76-2.96),32201 (3.66-3.93),9.223372036854776e+18,
182,jsat,30506 (3.53-3.71),32201 (4.55-4.81),9.223372036854776e+18,
396,jsat,32201 (2.55-2.77),34188 (4.90-5.06),9.223372036854776e+18,
393,jsat,32201 (2.55-2.77),34188 (3.25-3.42),9.223372036854776e+18,
392,jsat,32201 (2.55-2.77),34188 (2.24-2.41),9.223372036854776e+18,
181,jsat,30506 (3.53-3.71),32201 (3.66-3.93),9.223372036854776e+18,
180,jsat,30506 (3.53-3.71),32233 (2.76-2.96),9.223372036854776e+18,
179,jsat,30506 (3.53-3.71),32201 (2.55-2.77),9.223372036854776e+18,
173,jsat,30506 (3.21-3.27),34189 (2.87-3.20),9.223372036854776e+18,
172,jsat,30506 (3.21-3.27),34188 (4.90-5.06),9.223372036854776e+18,
171,jsat,30506 (3.21-3.27),34188 (4.28-4.45),9.223372036854776e+18,
75,jsat,28767 (5.90-6.31),32228 (4.42-4.72),9.223372036854776e+18,
378,jsat,32201 (2.55-2.77),32239 (5.80-6.10),9.223372036854776e+18,
377,jsat,32201 (2.55-2.77),32239 (4.56-4.95),9.223372036854776e+18,
170,jsat,30506 (3.21-3.27),34188 (4.04-4.20),9.223372036854776e+18,
168,jsat,30506 (3.21-3.27),34188 (2.24-2.41),9.223372036854776e+18,
372,jsat,32201 (2.55-2.77),32238 (4.63-5.06),9.223372036854776e+18,
283,jsat,30506 (4.31-4.41),34188 (3.25-3.42),9.223372036854776e+18,
167,jsat,30506 (3.21-3.27),34165 (3.52-3.70),9.223372036854776e+18,
282,jsat,30506 (4.31-4.41),34188 (2.24-2.41),9.223372036854776e+18,
415,jsat,32233 (2.76-2.96),32234 (4.69-4.94),9.223372036854776e+18,
264,jsat,30506 (4.31-4.41),32238 (6.40-6.80),9.223372036854776e+18,
443,jsat,32233 (2.76-2.96),34165 (2.00-2.33),9.223372036854776e+18,
191,jsat,30506 (3.53-3.71),32228 (6.20-6.48),9.223372036854776e+18,
267,jsat,30506 (4.31-4.41),32239 (4.56-4.95),9.223372036854776e+18,
268,jsat,30506 (4.31-4.41),32239 (5.80-6.10),9.223372036854776e+18,
269,jsat,30506 (4.31-4.41),32238 (3.58-3.84),9.223372036854776e+18,
270,jsat,30506 (4.31-4.41),32239 (2.11-2.47),9.223372036854776e+18,
189,jsat,30506 (3.53-3.71),32228 (4.42-4.72),9.223372036854776e+18,
433,jsat,32233 (2.76-2.96),32239 (2.11-2.47),9.223372036854776e+18,
432,jsat,32233 (2.76-2.96),32238 (3.58-3.84),9.223372036854776e+18,
431,jsat,32233 (2.76-2.96),32239 (5.80-6.10),9.223372036854776e+18,
430,jsat,32233 (2.76-2.96),32239 (4.56-4.95),9.223372036854776e+18,
427,jsat,32233 (2.76-2.96),32238 (6.40-6.80),9.223372036854776e+18,
426,jsat,32233 (2.76-2.96),32238 (5.72-6.08),9.223372036854776e+18,
425,jsat,32233 (2.76-2.96),32238 (4.63-5.06),9.223372036854776e+18,
423,jsat,32233 (2.76-2.96),32237 (3.74-4.01),9.223372036854776e+18,
187,jsat,30506 (3.53-3.71),32225 (5.52-5.95),9.223372036854776e+18,
186,jsat,30506 (3.53-3.71),32225 (4.52-4.95),9.223372036854776e+18,
280,jsat,30506 (4.31-4.41),34165 (2.00-2.33),9.223372036854776e+18,
422,jsat,32233 (2.76-2.96),32237 (2.37-2.98),9.223372036854776e+18,
421,jsat,32233 (2.76-2.96),32235 (6.49-6.84),9.223372036854776e+18,
281,jsat,30506 (4.31-4.41),34165 (3.52-3.70),9.223372036854776e+18,
420,jsat,32233 (2.76-2.96),32235 (6.07-6.42),9.223372036854776e+18,
419,jsat,32233 (2.76-2.96),32235 (5.55-5.98),9.223372036854776e+18,
418,jsat,32233 (2.76-2.96),32235 (4.03-5.00),9.223372036854776e+18,
417,jsat,32233 (2.76-2.96),32235 (3.49-3.87),9.223372036854776e+18,
416,jsat,32233 (2.76-2.96),32234 (5.10-5.55),9.223372036854776e+18,
63,jsat,28767 (5.90-6.31),30506 (4.31-4.41),9.223372036854776e+18,
370,jsat,32201 (2.55-2.77),32237 (3.74-4.01),9.223372036854776e+18,
166,jsat,30506 (3.21-3.27),34165 (2.00-2.33),9.223372036854776e+18,
156,jsat,30506 (3.21-3.27),32239 (2.11-2.47),9.223372036854776e+18,
319,jsat,30506 (4.93-5.03),32238 (4.63-5.06),9.223372036854776e+18,
229,jsat,30506 (3.53-3.71),34188 (4.90-5.06),9.223372036854776e+18,
320,jsat,30506 (4.93-5.03),32238 (5.72-6.08),9.223372036854776e+18,
145,jsat,30506 (3.21-3.27),32237 (2.37-2.98),9.223372036854776e+18,
144,jsat,30506 (3.21-3.27),32235 (6.49-6.84),9.223372036854776e+18,
143,jsat,30506 (3.21-3.27),32235 (6.07-6.42),9.223372036854776e+18,
110,jsat,28767 (5.90-6.31),34165 (3.52-3.70),9.223372036854776e+18,
142,jsat,30506 (3.21-3.27),32235 (5.55-5.98),9.223372036854776e+18,
141,jsat,30506 (3.21-3.27),32235 (4.03-5.00),9.223372036854776e+18,
140,jsat,30506 (3.21-3.27),32235 (3.49-3.87),9.223372036854776e+18,
139,jsat,30506 (3.21-3.27),32234 (5.10-5.55),9.223372036854776e+18,
138,jsat,30506 (3.21-3.27),32234 (4.69-4.94),9.223372036854776e+18,
136,jsat,30506 (3.21-3.27),32233 (5.05-5.33),9.223372036854776e+18,
327,jsat,30506 (4.93-5.03),32239 (2.11-2.47),9.223372036854776e+18,
326,jsat,30506 (4.93-5.03),32238 (3.58-3.84),9.223372036854776e+18,
325,jsat,30506 (4.93-5.03),32239 (5.80-6.10),9.223372036854776e+18,
324,jsat,30506 (4.93-5.03),32239 (4.56-4.95),9.223372036854776e+18,
321,jsat,30506 (4.93-5.03),32238 (6.40-6.80),9.223372036854776e+18,
134,jsat,30506 (3.21-3.27),32228 (6.20-6.48),9.223372036854776e+18,
122,jsat,30506 (3.21-3.27),32201 (2.55-2.77),9.223372036854776e+18,
123,jsat,30506 (3.21-3.27),32233 (2.76-2.96),9.223372036854776e+18,
124,jsat,30506 (3.21-3.27),32201 (3.66-3.93),9.223372036854776e+18,
125,jsat,30506 (3.21-3.27),32201 (4.55-4.81),9.223372036854776e+18,
126,jsat,30506 (3.21-3.27),32201 (5.90-6.20),9.223372036854776e+18,
128,jsat,30506 (3.21-3.27),32225 (3.52-3.70),9.223372036854776e+18,
129,jsat,30506 (3.21-3.27),32225 (4.52-4.95),9.223372036854776e+18,
130,jsat,30506 (3.21-3.27),32225 (5.52-5.95),9.223372036854776e+18,
146,jsat,30506 (3.21-3.27),32237 (3.74-4.01),9.223372036854776e+18,
337,jsat,30506 (4.93-5.03),34165 (2.00-2.33),9.223372036854776e+18,
338,jsat,30506 (4.93-5.03),34165 (3.52-3.70),9.223372036854776e+18,
341,jsat,30506 (4.93-5.03),34188 (4.04-4.20),9.223372036854776e+18,
155,jsat,30506 (3.21-3.27),32238 (3.58-3.84),9.223372036854776e+18,
293,jsat,30506 (4.93-5.03),32201 (2.55-2.77),9.223372036854776e+18,
295,jsat,30506 (4.93-5.03),32201 (3.66-3.93),9.223372036854776e+18,
296,jsat,30506 (4.93-5.03),32201 (4.55-4.81),9.223372036854776e+18,
297,jsat,30506 (4.93-5.03),32201 (5.90-6.20),9.223372036854776e+18,
154,jsat,30506 (3.21-3.27),32239 (5.80-6.10),9.223372036854776e+18,
299,jsat,30506 (4.93-5.03),32225 (3.52-3.70),9.223372036854776e+18,
89,jsat,28767 (5.90-6.31),32237 (3.74-4.01),9.223372036854776e+18,
300,jsat,30506 (4.93-5.03),32225 (4.52-4.95),9.223372036854776e+18,
153,jsat,30506 (3.21-3.27),32239 (4.56-4.95),9.223372036854776e+18,
301,jsat,30506 (4.93-5.03),32225 (5.52-5.95),9.223372036854776e+18,
150,jsat,30506 (3.21-3.27),32238 (6.40-6.80),9.223372036854776e+18,
303,jsat,30506 (4.93-5.03),32228 (4.42-4.72),9.223372036854776e+18,
263,jsat,30506 (4.31-4.41),32238 (5.72-6.08),9.223372036854776e+18,
149,jsat,30506 (3.21-3.27),32238 (5.72-6.08),9.223372036854776e+18,
307,jsat,30506 (4.93-5.03),32233 (5.05-5.33),9.223372036854776e+18,
148,jsat,30506 (3.21-3.27),32238 (4.63-5.06),9.223372036854776e+18,
