,Quantity,Signal 1,Signal 2,DTW,
1112,jsat,32234 (4.69-4.94),32238 (5.72-6.08),21953.601654052734,
1115,jsat,32234 (4.69-4.94),32239 (3.90-4.20),22039.07257080078,
1143,jsat,32234 (5.10-5.55),32235 (4.03-5.00),22075.701736450195,
1103,jsat,32234 (4.69-4.94),32235 (3.49-3.87),23296.704498291016,
1144,jsat,32234 (5.10-5.55),32235 (5.55-5.98),23333.331817626953,
1108,jsat,32234 (4.69-4.94),32237 (2.37-2.98),23589.743377685547,
1147,jsat,32234 (5.10-5.55),32237 (2.37-2.98),24920.632034301758,
1119,jsat,32234 (4.69-4.94),32239 (2.11-2.47),25347.984161376953,
1565,jsat,32239 (3.90-4.20),34189 (5.25-5.50),25665.446884155273,
1118,jsat,32234 (4.69-4.94),32238 (3.58-3.84),26520.145797729492,
1356,jsat,32237 (2.37-2.98),32239 (3.90-4.20),26849.81492614746,
1145,jsat,32234 (5.10-5.55),32235 (6.07-6.42),26849.815856933594,
1222,jsat,32235 (4.03-5.00),32239 (3.90-4.20),27887.668533325195,
1157,jsat,32234 (5.10-5.55),32238 (3.58-3.84),28229.54719543457,
1256,jsat,32235 (5.55-5.98),32239 (3.90-4.20),29682.53921508789,
1290,jsat,32235 (6.07-6.42),32239 (3.90-4.20),33125.763092041016,
865,jsat,32228 (4.42-4.72),32239 (3.90-4.20),33565.32426452637,
1324,jsat,32235 (6.49-6.84),32239 (3.90-4.20),34163.61521911621,
1188,jsat,32235 (3.49-3.87),32239 (3.90-4.20),35299.14376831055,
20,jsat,28767 (2.00-2.50),32234 (4.69-4.94),35506.71473693848,
354,jsat,32201 (2.55-2.77),32225 (5.52-5.95),36275.943359375,
458,jsat,32201 (3.66-3.93),32225 (4.52-4.95),44383.390625,
28,jsat,28767 (2.00-2.50),32237 (3.74-4.01),44786.321868896484,
36,jsat,28767 (2.00-2.50),32239 (5.80-6.10),44896.211837768555,
30,jsat,28767 (2.00-2.50),32238 (4.63-5.06),45384.6102142334,
35,jsat,28767 (2.00-2.50),32239 (4.56-4.95),47631.25375366211,
2229,jsat,34165 (2.00-2.33),34188 (4.04-4.20),50586.0810546875,
32,jsat,28767 (2.00-2.50),32238 (6.40-6.80),50659.33695983887,
34,jsat,28767 (2.00-2.50),32239 (3.90-4.20),51416.35778808594,
23,jsat,28767 (2.00-2.50),32235 (4.03-5.00),52759.461654663086,
21,jsat,28767 (2.00-2.50),32234 (5.10-5.55),52857.13888549805,
31,jsat,28767 (2.00-2.50),32238 (5.72-6.08),54065.93049621582,
27,jsat,28767 (2.00-2.50),32237 (2.37-2.98),61831.49885559082,
81,jsat,28767 (5.90-6.31),32234 (4.69-4.94),63113.55043029785,
2231,jsat,34165 (2.00-2.33),34188 (4.90-5.06),63675.2119140625,
2312,jsat,34188 (4.28-4.45),34189 (2.87-3.20),64847.37109375,
2267,jsat,34188 (2.24-2.41),34189 (2.87-3.20),66849.81884765625,
791,jsat,32225 (5.52-5.95),34165 (2.00-2.33),67338.2158203125,
58,jsat,28767 (2.00-2.50),34189 (6.25-6.50),68437.11962890625,
2232,jsat,34165 (2.00-2.33),34189 (2.87-3.20),68681.31298828125,
2230,jsat,34165 (2.00-2.33),34188 (4.28-4.45),71391.94873046875,
97,jsat,28767 (5.90-6.31),32239 (5.80-6.10),72747.25065612793,
457,jsat,32201 (3.66-3.93),32225 (3.52-3.70),73296.6953125,
91,jsat,28767 (5.90-6.31),32238 (4.63-5.06),73614.16246032715,
84,jsat,28767 (5.90-6.31),32235 (4.03-5.00),73797.3108215332,
93,jsat,28767 (5.90-6.31),32238 (6.40-6.80),74847.37245178223,
510,jsat,32201 (4.55-4.81),32225 (4.52-4.95),75592.1953125,
85,jsat,28767 (5.90-6.31),32235 (5.55-5.98),77765.56604003906,
96,jsat,28767 (5.90-6.31),32239 (4.56-4.95),78241.75485229492,
86,jsat,28767 (5.90-6.31),32235 (6.07-6.42),78864.46740722656,
92,jsat,28767 (5.90-6.31),32238 (5.72-6.08),79181.9268951416,
56,jsat,28767 (2.00-2.50),34189 (4.25-4.50),79279.61181640625,
795,jsat,32225 (5.52-5.95),34188 (4.04-4.20),80402.93359375,
83,jsat,28767 (5.90-6.31),32235 (3.49-3.87),82014.64933776855,
87,jsat,28767 (5.90-6.31),32235 (6.49-6.84),84200.24244689941,
459,jsat,32201 (3.66-3.93),32225 (5.52-5.95),84517.69921875,
1412,jsat,32237 (3.74-4.01),34189 (6.25-6.50),85286.93710327148,
88,jsat,28767 (5.90-6.31),32237 (2.37-2.98),85518.92366027832,
98,jsat,28767 (5.90-6.31),32238 (3.58-3.84),85592.18299865723,
99,jsat,28767 (5.90-6.31),32239 (2.11-2.47),86446.88429260254,
2327,jsat,34188 (4.90-5.06),34189 (2.87-3.20),87094.02001953125,
353,jsat,32201 (2.55-2.77),32225 (4.52-4.95),87435.890625,
82,jsat,28767 (5.90-6.31),32234 (5.10-5.55),87789.98532104492,
77,jsat,28767 (5.90-6.31),32228 (6.20-6.48),88449.32815551758,
1589,jsat,32239 (4.56-4.95),34189 (6.25-6.50),90866.91244506836,
119,jsat,28767 (5.90-6.31),34189 (6.25-6.50),91477.41186523438,
95,jsat,28767 (5.90-6.31),32239 (3.90-4.20),92942.6109008789,
1612,jsat,32239 (5.80-6.10),34189 (6.25-6.50),93553.1146697998,
395,jsat,32201 (2.55-2.77),34188 (4.28-4.45),94456.65185546875,Different ELM freqs
2297,jsat,34188 (4.04-4.20),34189 (2.87-3.20),94700.85205078125,Different ELM freqs
1410,jsat,32237 (3.74-4.01),34189 (4.25-4.50),97936.51132202148,
352,jsat,32201 (2.55-2.77),32225 (3.52-3.70),102173.37890625,
1466,jsat,32238 (4.63-5.06),34189 (6.25-6.50),102393.16343688965,
1587,jsat,32239 (4.56-4.95),34189 (4.25-4.50),105323.56869506836,
390,jsat,32201 (2.55-2.77),34165 (2.00-2.33),105482.3095703125,
117,jsat,28767 (5.90-6.31),34189 (4.25-4.50),105934.06811523438,
1493,jsat,32238 (5.72-6.08),34189 (6.25-6.50),107777.77961730957,
1610,jsat,32239 (5.80-6.10),34189 (4.25-4.50),108009.7709197998,
1520,jsat,32238 (6.40-6.80),34189 (6.25-6.50),109914.53276062012,
509,jsat,32201 (4.55-4.81),32225 (3.52-3.70),110488.404296875,
800,jsat,32225 (5.52-5.95),34189 (5.25-5.50),110866.91015625,
1464,jsat,32238 (4.63-5.06),34189 (4.25-4.50),118656.90171813965,
394,jsat,32201 (2.55-2.77),34188 (4.04-4.20),119291.826171875,
1139,jsat,32234 (4.69-4.94),34189 (6.25-6.50),119792.43104553223,
2234,jsat,34165 (2.00-2.33),34189 (5.25-5.50),124554.3349609375,
517,jsat,32201 (4.55-4.81),32233 (5.05-5.33),125787.53515625,
1491,jsat,32238 (5.72-6.08),34189 (4.25-4.50),125848.59992980957,
1178,jsat,32234 (5.10-5.55),34189 (6.25-6.50),126080.5876159668,
1246,jsat,32235 (4.03-5.00),34189 (6.25-6.50),126837.60813903809,
1380,jsat,32237 (2.37-2.98),34189 (6.25-6.50),127875.46174621582,
1518,jsat,32238 (6.40-6.80),34189 (4.25-4.50),127985.35307312012,
2253,jsat,34165 (3.52-3.70),34189 (4.25-4.50),128034.1845703125,
2255,jsat,34165 (3.52-3.70),34189 (6.25-6.50),133455.4306640625,
1635,jsat,32238 (3.58-3.84),34189 (6.25-6.50),136923.0792236328,
1137,jsat,32234 (4.69-4.94),34189 (4.25-4.50),139670.33338928223,
2254,jsat,34165 (3.52-3.70),34189 (5.25-5.50),141294.2841796875,
405,jsat,32233 (2.76-2.96),32201 (5.90-6.20),142307.6943359375,
748,jsat,32225 (4.52-4.95),34188 (4.28-4.45),142441.99755859375,
743,jsat,32225 (4.52-4.95),34165 (2.00-2.33),143431.0107421875,
1176,jsat,32234 (5.10-5.55),34189 (4.25-4.50),144151.4079284668,
2299,jsat,34188 (4.04-4.20),34189 (5.25-5.50),146141.6484375,
1314,jsat,32235 (6.07-6.42),34189 (6.25-6.50),147387.0596923828,
2249,jsat,34165 (3.52-3.70),34188 (4.04-4.20),147655.6806640625,
1244,jsat,32235 (4.03-5.00),34189 (4.25-4.50),148522.5925140381,
1378,jsat,32237 (2.37-2.98),34189 (4.25-4.50),149560.44612121582,
704,jsat,32225 (3.52-3.70),34189 (5.25-5.50),149975.564453125,
1280,jsat,32235 (5.55-5.98),34189 (6.25-6.50),150830.28356933594,
57,jsat,28767 (2.00-2.50),34189 (5.25-5.50),153907.21728515625,
504,jsat,32201 (3.66-3.93),34189 (5.25-5.50),156349.193359375,
1212,jsat,32235 (3.49-3.87),34189 (6.25-6.50),158107.45207214355,
1633,jsat,32238 (3.58-3.84),34189 (4.25-4.50),160415.1456298828,
399,jsat,32201 (2.55-2.77),34189 (5.25-5.50),161501.818359375,
2298,jsat,34188 (4.04-4.20),34189 (4.25-4.50),163772.890625,
465,jsat,32201 (3.66-3.93),32233 (5.05-5.33),166471.296875,
1657,jsat,32239 (2.11-2.47),34189 (6.25-6.50),169059.83180236816,
2251,jsat,34165 (3.52-3.70),34188 (4.90-5.06),169206.3486328125,
1348,jsat,32235 (6.49-6.84),34189 (6.25-6.50),172136.75367736816,
511,jsat,32201 (4.55-4.81),32225 (5.52-5.95),172210.017578125,
747,jsat,32225 (4.52-4.95),34188 (4.04-4.20),172283.25390625,
1312,jsat,32235 (6.07-6.42),34189 (4.25-4.50),172686.2081298828,
977,jsat,32228 (6.20-6.48),34189 (6.25-6.50),172698.41677856445,
1411,jsat,32237 (3.74-4.01),34189 (5.25-5.50),174688.65390014648,
713,jsat,32225 (4.52-4.95),32233 (5.05-5.33),175873.00390625,
1278,jsat,32235 (5.55-5.98),34189 (4.25-4.50),176129.43200683594,
749,jsat,32225 (4.52-4.95),34188 (4.90-5.06),177765.5703125,
2269,jsat,34188 (2.24-2.41),34189 (5.25-5.50),185213.6787109375,
1210,jsat,32235 (3.49-3.87),34189 (4.25-4.50),185213.68254089355,
2329,jsat,34188 (4.90-5.06),34189 (5.25-5.50),186043.962890625,
2300,jsat,34188 (4.04-4.20),34189 (6.25-6.50),187362.63671875,
665,jsat,32225 (3.52-3.70),32233 (5.05-5.33),190305.2421875,
2233,jsat,34165 (2.00-2.33),34189 (4.25-4.50),191587.2939453125,
113,jsat,28767 (5.90-6.31),34188 (4.04-4.20),192393.16577148438,
1588,jsat,32239 (4.56-4.95),34189 (5.25-5.50),193040.30307006836,
2328,jsat,34188 (4.90-5.06),34189 (4.25-4.50),193956.02734375,
2314,jsat,34188 (4.28-4.45),34189 (5.25-5.50),194896.22412109375,
1611,jsat,32239 (5.80-6.10),34189 (5.25-5.50),195726.5052947998,
1655,jsat,32239 (2.11-2.47),34189 (4.25-4.50),196166.06227111816,
889,jsat,32228 (4.42-4.72),34189 (6.25-6.50),198522.59074401855,
975,jsat,32228 (6.20-6.48),34189 (4.25-4.50),199804.64724731445,
1346,jsat,32235 (6.49-6.84),34189 (4.25-4.50),201050.06617736816,
752,jsat,32225 (4.52-4.95),34189 (5.25-5.50),202002.42578125,
1626,jsat,32238 (3.58-3.84),34165 (3.52-3.70),205006.1016845703,
792,jsat,32225 (5.52-5.95),34165 (3.52-3.70),206227.1123046875,
109,jsat,28767 (5.90-6.31),34165 (2.00-2.33),210390.72534179688,
799,jsat,32225 (5.52-5.95),34189 (4.25-4.50),213479.845703125,
118,jsat,28767 (5.90-6.31),34189 (5.25-5.50),215042.75170898438,
1305,jsat,32235 (6.07-6.42),34165 (3.52-3.70),216556.7677001953,
2235,jsat,34165 (2.00-2.33),34189 (6.25-6.50),216886.4423828125,
1465,jsat,32238 (4.63-5.06),34189 (5.25-5.50),217338.22789001465,
2330,jsat,34188 (4.90-5.06),34189 (6.25-6.50),217448.09375,
2250,jsat,34165 (3.52-3.70),34188 (4.28-4.45),221135.53564453125,
1203,jsat,32235 (3.49-3.87),34165 (3.52-3.70),221330.88859558105,
360,jsat,32201 (2.55-2.77),32233 (5.05-5.33),224615375,
547,jsat,32201 (4.55-4.81),34165 (2.00-2.33),226849.8076171875,
887,jsat,32228 (4.42-4.72),34189 (4.25-4.50),231050.06730651855,
801,jsat,32225 (5.52-5.95),34189 (6.25-6.50),233357.748046875,
2313,jsat,34188 (4.28-4.45),34189 (4.25-4.50),234236.87060546875,
2252,jsat,34165 (3.52-3.70),34189 (2.87-3.20),234993.90380859375,
1492,jsat,32238 (5.72-6.08),34189 (5.25-5.50),235494.51789855957,
1271,jsat,32235 (5.55-5.98),34165 (3.52-3.70),236837.6004638672,
1519,jsat,32238 (6.40-6.80),34189 (5.25-5.50),237631.27104187012,
